prefill_chunk,kv_prefill,n_decode,kv_decode,time_us
0,0,1,16,5.0082
0,0,1,32,5.0123
0,0,1,64,5.0205
0,0,1,128,5.0369
0,0,1,256,5.0696
0,0,1,512,5.1352
0,0,1,768,5.2007
0,0,1,1024,5.2662
0,0,1,1152,5.2990
0,0,1,1728,5.4465
0,0,1,2048,5.5284
0,0,1,2592,5.6676
0,0,1,3888,5.9994
0,0,1,4096,6.0527
0,0,1,5832,6.4971
0,0,1,8192,7.1012
0,0,1,8748,7.2436
0,0,1,13122,8.3633
0,0,1,16384,9.1984
0,0,2,16,5.0164
0,0,2,32,5.0246
0,0,2,64,5.0410
0,0,2,128,5.0737
0,0,2,256,5.1393
0,0,2,512,5.2703
0,0,2,768,5.4014
0,0,2,1024,5.5325
0,0,2,1152,5.5980
0,0,2,1728,5.8929
0,0,2,2048,6.0568
0,0,2,2592,6.3353
0,0,2,3888,6.9988
0,0,2,4096,7.1053
0,0,2,5832,7.9942
0,0,2,8192,9.2025
0,0,2,8748,9.4872
0,0,2,13122,11.7267
0,0,2,16384,13.3968
0,0,4,16,5.0328
0,0,4,32,5.0492
0,0,4,64,5.0819
0,0,4,128,5.1475
0,0,4,256,5.2785
0,0,4,512,5.5407
0,0,4,768,5.8028
0,0,4,1024,6.0650
0,0,4,1152,6.1960
0,0,4,1728,6.7859
0,0,4,2048,7.1135
0,0,4,2592,7.6706
0,0,4,3888,8.9977
0,0,4,4096,9.2107
0,0,4,5832,10.9884
0,0,4,8192,13.4050
0,0,4,8748,13.9743
0,0,4,13122,18.4533
0,0,4,16384,21.7936
0,0,8,16,5.0655
0,0,8,32,5.0983
0,0,8,64,5.1638
0,0,8,128,5.2949
0,0,8,256,5.5571
0,0,8,512,6.0813
0,0,8,768,6.6056
0,0,8,1024,7.1299
0,0,8,1152,7.3921
0,0,8,1728,8.5717
0,0,8,2048,9.2271
0,0,8,2592,10.3412
0,0,8,3888,12.9954
0,0,8,4096,13.4214
0,0,8,5832,16.9767
0,0,8,8192,21.8100
0,0,8,8748,22.9487
0,0,8,13122,31.9066
0,0,8,16384,38.5872
0,0,16,16,5.1311
0,0,16,32,5.1966
0,0,16,64,5.3277
0,0,16,128,5.5898
0,0,16,256,6.1141
0,0,16,512,7.1627
0,0,16,768,8.2113
0,0,16,1024,9.2598
0,0,16,1152,9.7841
0,0,16,1728,12.1434
0,0,16,2048,13.4541
0,0,16,2592,15.6824
0,0,16,3888,20.9908
0,0,16,4096,21.8428
0,0,16,5832,28.9534
0,0,16,8192,38.6200
0,0,16,8748,40.8973
0,0,16,13122,58.8132
0,0,16,16384,72.1744
0,0,32,16,5.2621
0,0,32,32,5.3932
0,0,32,64,5.6554
0,0,32,128,6.1796
0,0,32,256,7.2282
0,0,32,512,9.3254
0,0,32,768,11.4225
0,0,32,1024,13.5197
0,0,32,1152,14.5683
0,0,32,1728,19.2868
0,0,32,2048,21.9083
0,0,32,2592,26.3647
0,0,32,3888,36.9816
0,0,32,4096,38.6855
0,0,32,5832,52.9068
0,0,32,8192,72.2399
0,0,32,8748,76.7947
0,0,32,13122,112.6265
0,0,32,16384,139.3488
0,0,64,16,5.5243
0,0,64,32,5.7864
0,0,64,64,6.3107
0,0,64,128,7.3593
0,0,64,256,9.4564
0,0,64,512,13.6508
0,0,64,768,17.8451
0,0,64,1024,22.0394
0,0,64,1152,24.1365
0,0,64,1728,33.5737
0,0,64,2048,38.8166
0,0,64,2592,47.7295
0,0,64,3888,68.9631
0,0,64,4096,72.3710
0,0,64,5832,100.8136
0,0,64,8192,139.4799
0,0,64,8748,148.5894
0,0,64,13122,220.2530
0,0,64,16384,273.6976
0,0,128,16,6.0486
0,0,128,32,6.5729
0,0,128,64,7.6214
0,0,128,128,9.7186
0,0,128,256,13.9129
0,0,128,512,22.3015
0,0,128,768,30.6901
0,0,128,1024,39.0787
0,0,128,1152,43.2730
0,0,128,1728,62.1474
0,0,128,2048,72.6332
0,0,128,2592,90.4589
0,0,128,3888,132.9263
0,0,128,4096,139.7420
0,0,128,5832,196.6273
0,0,128,8192,273.9597
0,0,128,8748,292.1788
0,0,128,13122,435.5060
0,0,128,16384,542.3952
0,0,256,16,7.0972
0,0,256,32,8.1457
0,0,256,64,10.2429
0,0,256,128,14.4372
0,0,256,256,22.8258
0,0,256,512,39.6030
0,0,256,768,56.3802
0,0,256,1024,73.1574
0,0,256,1152,81.5460
0,0,256,1728,119.2948
0,0,256,2048,140.2663
0,0,256,2592,175.9179
0,0,256,3888,260.8525
0,0,256,4096,274.4840
0,0,256,5832,388.2545
0,0,256,8192,542.9195
0,0,256,8748,579.3575
0,0,256,13122,866.0120
0,0,256,16384,1079.7904
16,0,0,0,5.0696
16,0,1,16,5.0778
16,0,1,32,5.0819
16,0,1,64,5.0901
16,0,1,128,5.1065
16,0,1,256,5.1393
16,0,1,512,5.2048
16,0,1,768,5.2703
16,0,1,1024,5.3359
16,0,1,1152,5.3686
16,0,1,1728,5.5161
16,0,1,2048,5.5980
16,0,1,2592,5.7373
16,0,1,3888,6.0691
16,0,1,4096,6.1223
16,0,1,5832,6.5667
16,0,1,8192,7.1709
16,0,1,8748,7.3132
16,0,1,13122,8.4330
16,0,1,16384,9.2680
16,0,2,16,5.0860
16,0,2,32,5.0942
16,0,2,64,5.1106
16,0,2,128,5.1434
16,0,2,256,5.2089
16,0,2,512,5.3400
16,0,2,768,5.4710
16,0,2,1024,5.6021
16,0,2,1152,5.6676
16,0,2,1728,5.9626
16,0,2,2048,6.1264
16,0,2,2592,6.4049
16,0,2,3888,7.0685
16,0,2,4096,7.1750
16,0,2,5832,8.0638
16,0,2,8192,9.2721
16,0,2,8748,9.5568
16,0,2,13122,11.7963
16,0,2,16384,13.4664
16,0,4,16,5.1024
16,0,4,32,5.1188
16,0,4,64,5.1516
16,0,4,128,5.2171
16,0,4,256,5.3482
16,0,4,512,5.6103
16,0,4,768,5.8724
16,0,4,1024,6.1346
16,0,4,1152,6.2657
16,0,4,1728,6.8555
16,0,4,2048,7.1832
16,0,4,2592,7.7402
16,0,4,3888,9.0673
16,0,4,4096,9.2803
16,0,4,5832,11.0580
16,0,4,8192,13.4746
16,0,4,8748,14.0440
16,0,4,13122,18.5229
16,0,4,16384,21.8632
16,0,8,16,5.1352
16,0,8,32,5.1679
16,0,8,64,5.2335
16,0,8,128,5.3645
16,0,8,256,5.6267
16,0,8,512,6.1510
16,0,8,768,6.6753
16,0,8,1024,7.1996
16,0,8,1152,7.4617
16,0,8,1728,8.6413
16,0,8,2048,9.2967
16,0,8,2592,10.4108
16,0,8,3888,13.0650
16,0,8,4096,13.4910
16,0,8,5832,17.0463
16,0,8,8192,21.8796
16,0,8,8748,23.0183
16,0,8,13122,31.9763
16,0,8,16384,38.6568
16,0,16,16,5.2007
16,0,16,32,5.2662
16,0,16,64,5.3973
16,0,16,128,5.6595
16,0,16,256,6.1837
16,0,16,512,7.2323
16,0,16,768,8.2809
16,0,16,1024,9.3295
16,0,16,1152,9.8538
16,0,16,1728,12.2131
16,0,16,2048,13.5238
16,0,16,2592,15.7520
16,0,16,3888,21.0604
16,0,16,4096,21.9124
16,0,16,5832,29.0230
16,0,16,8192,38.6896
16,0,16,8748,40.9670
16,0,16,13122,58.8829
16,0,16,16384,72.2440
16,0,32,16,5.3318
16,0,32,32,5.4628
16,0,32,64,5.7250
