tokens,activated_experts,time_us
1,8,42.7516
2,8,42.7544
2,16,80.5031
4,8,42.7600
4,16,80.5087
4,32,156.0062
8,8,42.7713
8,16,80.5200
8,32,156.0175
8,64,307.0124
16,8,42.7938
16,16,80.5425
16,32,156.0400
16,64,307.0349
16,128,609.0248
32,8,42.8388
32,16,80.5876
32,32,156.0851
32,64,307.0800
32,128,609.0699
64,8,42.9290
64,16,80.6777
64,32,156.1752
64,64,307.1701
64,128,609.1600
128,8,43.1092
128,16,80.8579
128,32,156.3554
128,64,307.3503
128,128,609.3402
256,8,43.4696
256,16,81.2184
256,32,156.7158
256,64,307.7108
256,128,609.7007
512,8,44.1905
512,16,81.9393
512,32,157.4367
512,64,308.4317
512,128,610.4216
1024,8,45.6323
1024,16,83.3811
1024,32,158.8785
1024,64,309.8735
1024,128,611.8634
2048,8,54.0853
2048,16,86.2646
2048,32,161.7621
2048,64,312.7571
2048,128,614.7469
