layer,sequences,time_us
lm_head,1,160.6215
lm_head,2,160.6605
lm_head,3,160.6995
lm_head,4,160.7385
lm_head,5,160.7775
lm_head,6,160.8165
lm_head,7,160.8555
lm_head,8,160.8945
lm_head,9,160.9335
lm_head,10,160.9725
lm_head,11,161.0116
lm_head,12,161.0506
lm_head,13,161.0896
lm_head,14,161.1286
lm_head,15,161.1676
lm_head,16,161.2066
lm_head,20,161.3626
lm_head,24,161.5187
lm_head,28,161.6747
lm_head,32,161.8307
lm_head,36,161.9868
lm_head,40,162.1428
lm_head,44,162.2988
lm_head,48,162.4548
lm_head,52,162.6109
lm_head,56,162.7669
lm_head,60,162.9229
lm_head,64,163.0790
lm_head,80,163.7031
lm_head,96,164.3272
lm_head,112,164.9514
lm_head,128,165.5755
lm_head,144,166.1996
lm_head,160,166.8237
lm_head,176,167.4479
lm_head,192,168.0720
lm_head,208,169.3741
lm_head,224,182.0183
lm_head,240,194.6624
lm_head,256,207.3066
sampler,1,5.0380
sampler,2,5.0760
sampler,3,5.1140
sampler,4,5.1519
sampler,5,5.1899
sampler,6,5.2279
sampler,7,5.2659
sampler,8,5.3039
sampler,9,5.3419
sampler,10,5.3798
sampler,11,5.4178
sampler,12,5.4558
sampler,13,5.4938
sampler,14,5.5318
sampler,15,5.5698
sampler,16,5.6077
sampler,20,5.7597
sampler,24,5.9116
sampler,28,6.0636
sampler,32,6.2155
sampler,36,6.3674
sampler,40,6.5194
sampler,44,6.6713
sampler,48,6.8232
sampler,52,6.9752
sampler,56,7.1271
sampler,60,7.2790
sampler,64,7.4310
sampler,80,8.0387
sampler,96,8.6465
sampler,112,9.2542
sampler,128,9.8620
sampler,144,10.4697
sampler,160,11.0774
sampler,176,11.6852
sampler,192,12.2929
sampler,208,12.9007
sampler,224,13.5084
sampler,240,14.1162
sampler,256,14.7239
