prefill_chunk,kv_prefill,n_decode,kv_decode,time_us
0,0,1,0,5.0102
0,0,1,16,5.0125
0,0,1,32,5.0148
0,0,1,64,5.0195
0,0,1,128,5.0287
0,0,1,256,5.0479
0,0,1,512,5.0959
0,0,1,768,5.1438
0,0,1,1024,5.1917
0,0,1,1152,5.2157
0,0,1,1728,5.3236
0,0,1,2048,5.3835
0,0,1,2592,5.4853
0,0,1,3888,5.7280
0,0,1,4096,5.7670
0,0,1,5832,6.0920
0,0,1,8192,6.5339
0,0,1,8748,6.6380
0,0,1,13122,7.4570
0,0,1,16384,8.0678
0,0,2,0,5.0205
0,0,2,16,5.0251
0,0,2,32,5.0297
0,0,2,64,5.0389
0,0,2,128,5.0573
0,0,2,256,5.0959
0,0,2,512,5.1917
0,0,2,768,5.2876
0,0,2,1024,5.3835
0,0,2,1152,5.4314
0,0,2,1728,5.6471
0,0,2,2048,5.7670
0,0,2,2592,5.9707
0,0,2,3888,6.4560
0,0,2,4096,6.5339
0,0,2,5832,7.1840
0,0,2,8192,8.0678
0,0,2,8748,8.2761
0,0,2,13122,9.9141
0,0,2,16384,11.1357
0,0,4,0,5.0410
0,0,4,16,5.0502
0,0,4,32,5.0594
0,0,4,64,5.0778
0,0,4,128,5.1147
0,0,4,256,5.1917
0,0,4,512,5.3835
0,0,4,768,5.5752
0,0,4,1024,5.7670
0,0,4,1152,5.8628
0,0,4,1728,6.2942
0,0,4,2048,6.5339
0,0,4,2592,6.9414
0,0,4,3888,7.9120
0,0,4,4096,8.0678
0,0,4,5832,9.3681
0,0,4,8192,11.1357
0,0,4,8748,11.5521
0,0,4,13122,14.8282
0,0,4,16384,17.2713
0,0,8,0,5.0819
0,0,8,16,5.1004
0,0,8,32,5.1188
0,0,8,64,5.1556
0,0,8,128,5.2294
0,0,8,256,5.3835
0,0,8,512,5.7670
0,0,8,768,6.1504
0,0,8,1024,6.5339
0,0,8,1152,6.7257
0,0,8,1728,7.5885
0,0,8,2048,8.0678
0,0,8,2592,8.8827
0,0,8,3888,10.8241
0,0,8,4096,11.1357
0,0,8,5832,13.7361
0,0,8,8192,17.2713
0,0,8,8748,18.1042
0,0,8,13122,24.6563
0,0,8,16384,29.5427
0,0,16,0,5.1638
0,0,16,16,5.2007
0,0,16,32,5.2376
0,0,16,64,5.3113
0,0,16,128,5.4588
0,0,16,256,5.7670
0,0,16,512,6.5339
0,0,16,768,7.3009
0,0,16,1024,8.0678
0,0,16,1152,8.4513
0,0,16,1728,10.1770
0,0,16,2048,11.1357
0,0,16,2592,12.7655
0,0,16,3888,16.6482
0,0,16,4096,17.2713
0,0,16,5832,22.4723
