tokens,activated_experts,time_us
1,8,93.0850
1,16,181.1654
1,32,357.3261
1,64,709.6477
1,128,1414.2908
2,8,93.0896
2,16,181.1700
2,32,357.3308
2,64,709.6523
2,128,1414.2954
4,8,93.0988
4,16,181.1792
4,32,357.3400
4,64,709.6615
4,128,1414.3046
8,8,93.1172
8,16,181.1976
8,32,357.3584
8,64,709.6799
8,128,1414.3230
16,8,93.1541
16,16,181.2345
16,32,357.3953
16,64,709.7168
16,128,1414.3599
32,8,93.2278
32,16,181.3082
32,32,357.4690
32,64,709.7905
32,128,1414.4336
64,8,93.3753
64,16,181.4557
64,32,357.6164
64,64,709.9380
64,128,1414.5811
128,8,93.6702
128,16,181.7506
128,32,357.9114
128,64,710.2329
128,128,1414.8760
256,8,94.2600
256,16,182.3404
256,32,358.5012
256,64,710.8227
256,128,1415.4658
512,8,95.4397
512,16,183.5201
512,32,359.6808
512,64,712.0024
512,128,1416.6454
1024,8,97.7990
1024,16,185.8794
1024,32,362.0401
1024,64,714.3617
1024,128,1419.0047
2048,8,119.5325
2048,16,190.5980
2048,32,366.7587
2048,64,719.0803
2048,128,1423.7233
