layer,sequences,time_us
lm_head,1,19.4832
lm_head,2,19.4870
lm_head,3,19.4908
lm_head,4,19.4946
lm_head,5,19.4984
lm_head,6,19.5022
lm_head,7,19.5060
lm_head,8,19.5099
lm_head,9,19.5137
lm_head,10,19.5175
lm_head,11,19.5213
lm_head,12,19.5251
lm_head,13,19.5289
lm_head,14,19.5327
lm_head,15,19.5365
lm_head,16,19.5404
lm_head,20,19.5556
lm_head,24,19.5708
lm_head,28,19.5861
lm_head,32,19.6013
lm_head,36,19.6166
lm_head,40,19.6318
lm_head,44,19.6471
lm_head,48,19.6623
lm_head,52,19.6776
lm_head,56,19.6928
lm_head,60,19.7081
lm_head,64,19.7233
lm_head,80,19.7843
lm_head,96,19.8453
lm_head,112,19.9063
lm_head,128,19.9673
lm_head,144,20.0283
lm_head,160,20.0893
lm_head,176,20.1503
lm_head,192,20.2113
lm_head,208,20.2976
lm_head,224,21.4743
lm_head,240,22.6510
lm_head,256,23.8278
sampler,1,5.0323
sampler,2,5.0646
sampler,3,5.0970
sampler,4,5.1293
sampler,5,5.1616
sampler,6,5.1939
sampler,7,5.2262
sampler,8,5.2586
sampler,9,5.2909
sampler,10,5.3232
sampler,11,5.3555
sampler,12,5.3878
sampler,13,5.4202
sampler,14,5.4525
sampler,15,5.4848
sampler,16,5.5171
sampler,20,5.6464
sampler,24,5.7757
sampler,28,5.9050
sampler,32,6.0342
sampler,36,6.1635
sampler,40,6.2928
sampler,44,6.4221
sampler,48,6.5514
sampler,52,6.6806
sampler,56,6.8099
sampler,60,6.9392
sampler,64,7.0685
sampler,80,7.5856
sampler,96,8.1027
sampler,112,8.6198
sampler,128,9.1370
sampler,144,9.6541
sampler,160,10.1712
sampler,176,10.6883
sampler,192,11.2054
sampler,208,11.7226
sampler,224,12.2397
sampler,240,12.7568
sampler,256,13.2739
