prefill_chunk,kv_prefill,n_decode,kv_decode,time_us
0,0,1,0,5.0026
0,0,1,16,5.0108
0,0,1,32,5.0189
0,0,1,64,5.0353
0,0,1,128,5.0681
0,0,1,256,5.1336
0,0,1,512,5.2647
0,0,1,768,5.3958
0,0,1,1024,5.5268
0,0,1,1152,5.5924
0,0,1,1728,5.8873
0,0,1,2048,6.0511
0,0,1,2592,6.3297
0,0,1,3888,6.9932
0,0,1,4096,7.0997
0,0,1,5832,7.9885
0,0,1,8192,9.1969
0,0,1,8748,9.4815
0,0,1,13122,11.7210
0,0,1,16384,13.3912
0,0,2,0,5.0051
0,0,2,16,5.0215
0,0,2,32,5.0379
0,0,2,64,5.0707
0,0,2,128,5.1362
0,0,2,256,5.2673
0,0,2,512,5.5294
0,0,2,768,5.7916
0,0,2,1024,6.0537
0,0,2,1152,6.1848
0,0,2,1728,6.7746
0,0,2,2048,7.1023
0,0,2,2592,7.6593
0,0,2,3888,8.9864
0,0,2,4096,9.1994
0,0,2,5832,10.9771
0,0,2,8192,13.3937
0,0,2,8748,13.9631
0,0,2,13122,18.4420
0,0,2,16384,21.7823
0,0,4,0,5.0102
0,0,4,16,5.0430
0,0,4,32,5.0758
0,0,4,64,5.1413
0,0,4,128,5.2724
0,0,4,256,5.5345
0,0,4,512,6.0588
0,0,4,768,6.5831
0,0,4,1024,7.1074
0,0,4,1152,7.3695
0,0,4,1728,8.5492
0,0,4,2048,9.2045
0,0,4,2592,10.3187
0,0,4,3888,12.9729
0,0,4,4096,13.3988
0,0,4,5832,16.9542
0,0,4,8192,21.7875
0,0,4,8748,22.9261
0,0,4,13122,31.8841
0,0,4,16384,38.5647
0,0,8,0,5.0205
0,0,8,16,5.0860
0,0,8,32,5.1516
0,0,8,64,5.2826
0,0,8,128,5.5448
0,0,8,256,6.0691
0,0,8,512,7.1176
0,0,8,768,8.1662
0,0,8,1024,9.2148
0,0,8,1152,9.7391
0,0,8,1728,12.0984
0,0,8,2048,13.4091
0,0,8,2592,15.6373
0,0,8,3888,20.9457
0,0,8,4096,21.7977
0,0,8,5832,28.9084
0,0,8,8192,38.5749
0,0,8,8748,40.8523
0,0,8,13122,58.7682
0,0,8,16384,72.1293
0,0,16,0,5.0410
0,0,16,16,5.1720
0,0,16,32,5.3031
0,0,16,64,5.5652
0,0,16,128,6.0895
0,0,16,256,7.1381
0,0,16,512,9.2353
0,0,16,768,11.3324
0,0,16,1024,13.4296
0,0,16,1152,14.4781
0,0,16,1728,19.1967
0,0,16,2048,21.8182
0,0,16,2592,26.2746
0,0,16,3888,36.8915
0,0,16,4096,38.5954
0,0,16,5832,52.8167
0,0,16,8192,72.1498
0,0,16,8748,76.7046
0,0,16,13122,112.5364
0,0,16,16384,139.2587
0,0,32,0,5.0819
0,0,32,16,5.3441
0,0,32,32,5.6062
0,0,32,64,6.1305
0,0,32,128,7.1791
0,0,32,256,9.2762
0,0,32,512,13.4705
0,0,32,768,17.6648
0,0,32,1024,21.8591
0,0,32,1152,23.9563
0,0,32,1728,33.3935
0,0,32,2048,38.6364
0,0,32,2592,47.5492
0,0,32,3888,68.7829
0,0,32,4096,72.1908
0,0,32,5832,100.6334
0,0,32,8192,139.2996
0,0,32,8748,148.4092
0,0,32,13122,220.0728
0,0,32,16384,273.5174
0,0,64,0,5.1638
0,0,64,16,5.6881
0,0,64,32,6.2124
0,0,64,64,7.2610
0,0,64,128,9.3581
0,0,64,256,13.5524
0,0,64,512,21.9411
0,0,64,768,30.3297
0,0,64,1024,38.7183
0,0,64,1152,42.9126
0,0,64,1728,61.7869
0,0,64,2048,72.2727
0,0,64,2592,90.0985
0,0,64,3888,132.5658
0,0,64,4096,139.3816
0,0,64,5832,196.2668
0,0,64,8192,273.5993
0,0,64,8748,291.8183
0,0,64,13122,435.1455
0,0,64,16384,542.0348
0,0,128,0,5.3277
0,0,128,16,6.3763
0,0,128,32,7.4248
0,0,128,64,9.5220
0,0,128,128,13.7163
0,0,128,256,22.1049
0,0,128,512,38.8821
0,0,128,768,55.6593
0,0,128,1024,72.4365
0,0,128,1152,80.8252
0,0,128,1728,118.5739
0,0,128,2048,139.5454
0,0,128,2592,175.1970
0,0,128,3888,260.1316
0,0,128,4096,273.7631
0,0,128,5832,387.5336
0,0,128,8192,542.1986
0,0,128,8748,578.6366
0,0,128,13122,865.2911
0,0,128,16384,1079.0695
0,0,256,0,5.6554
0,0,256,16,7.7525
0,0,256,32,9.8497
0,0,256,64,14.0440
0,0,256,128,22.4326
0,0,256,256,39.2098
0,0,256,512,72.7642
0,0,256,768,106.3187
0,0,256,1024,139.8731
0,0,256,1152,156.6503
0,0,256,1728,232.1478
0,0,256,2048,274.0908
0,0,256,2592,345.3940
0,0,256,3888,515.2633
0,0,256,4096,542.5263
0,0,256,5832,770.0673
0,0,256,8192,1079.3972
0,0,256,8748,1152.2732
0,0,256,13122,1725.5821
0,0,256,16384,2153.1390
16,0,0,0,5.0492
16,0,1,0,5.0517
16,0,1,16,5.0599
16,0,1,32,5.0681
16,0,1,64,5.0845
16,0,1,128,5.1172
16,0,1,256,5.1828
16,0,1,512,5.3139
16,0,1,768,5.4449
16,0,1,1024,5.5760
16,0,1,1152,5.6415
16,0,1,1728,5.9364
16,0,1,2048,6.1003
16,0,1,2592,6.3788
16,0,1,3888,7.0424
16,0,1,4096,7.1489
16,0,1,5832,8.0377
16,0,1,8192,9.2460
16,0,1,8748,9.5307
16,0,1,13122,11.7702
16,0,1,16384,13.4403
16,0,2,0,5.0543
16,0,2,16,5.0707
16,0,2,32,5.0870
16,0,2,64,5.1198
16,0,2,128,5.1853
16,0,2,256,5.3164
16,0,2,512,5.5786
16,0,2,768,5.8407
16,0,2,1024,6.1028
16,0,2,1152,6.2339
16,0,2,1728,6.8237
16,0,2,2048,7.1514
16,0,2,2592,7.7085
16,0,2,3888,9.0356
16,0,2,4096,9.2486
16,0,2,5832,11.0262
16,0,2,8192,13.4429
16,0,2,8748,14.0122
16,0,2,13122,18.4912
16,0,2,16384,21.8315
16,0,4,0,5.0594
16,0,4,16,5.0922
16,0,4,32,5.1249
16,0,4,64,5.1905
16,0,4,128,5.3215
16,0,4,256,5.5837
16,0,4,512,6.1080
16,0,4,768,6.6323
16,0,4,1024,7.1565
16,0,4,1152,7.4187
16,0,4,1728,8.5983
16,0,4,2048,9.2537
16,0,4,2592,10.3678
16,0,4,3888,13.0220
16,0,4,4096,13.4480
16,0,4,5832,17.0033
16,0,4,8192,21.8366
16,0,4,8748,22.9753
16,0,4,13122,31.9332
16,0,4,16384,38.6138
16,0,8,0,5.0696
16,0,8,16,5.1352
16,0,8,32,5.2007
16,0,8,64,5.3318
16,0,8,128,5.5939
16,0,8,256,6.1182
16,0,8,512,7.1668
16,0,8,768,8.2154
16,0,8,1024,9.2639
16,0,8,1152,9.7882
16,0,8,1728,12.1475
16,0,8,2048,13.4582
16,0,8,2592,15.6865
16,0,8,3888,20.9949
16,0,8,4096,21.8468
16,0,8,5832,28.9575
16,0,8,8192,38.6241
16,0,8,8748,40.9014
16,0,8,13122,58.8173
16,0,8,16384,72.1785
16,0,16,0,5.0901
16,0,16,16,5.2212
16,0,16,32,5.3523
16,0,16,64,5.6144
16,0,16,128,6.1387
16,0,16,256,7.1873
16,0,16,512,9.2844
16,0,16,768,11.3816
16,0,16,1024,13.4787
16,0,16,1152,14.5273
16,0,16,1728,19.2459
16,0,16,2048,21.8673
16,0,16,2592,26.3238
16,0,16,3888,36.9406
16,0,16,4096,38.6445
16,0,16,5832,52.8659
16,0,16,8192,72.1990
16,0,16,8748,76.7537
16,0,16,13122,112.5855
16,0,16,16384,139.3078
16,0,32,0,5.1311
16,0,32,16,5.3932
16,0,32,32,5.6554
16,0,32,64,6.1796
16,0,32,128,7.2282
16,0,32,256,9.3254
16,0,32,512,13.5197
16,0,32,768,17.7140
16,0,32,1024,21.9083
16,0,32,1152,24.0054
16,0,32,1728,33.4426
16,0,32,2048,38.6855
16,0,32,2592,47.5984
16,0,32,3888,68.8321
16,0,32,4096,72.2399
16,0,32,5832,100.6826
16,0,32,8192,139.3488
16,0,32,8748,148.4583
16,0,32,13122,220.1219
16,0,32,16384,273.5665
16,0,64,0,5.2130
16,0,64,16,5.7373
16,0,64,32,6.2616
16,0,64,64,7.3101
16,0,64,128,9.4073
16,0,64,256,13.6016
16,0,64,512,21.9902
16,0,64,768,30.3788
16,0,64,1024,38.7674
16,0,64,1152,42.9617
16,0,64,1728,61.8361
16,0,64,2048,72.3219
16,0,64,2592,90.1476
16,0,64,3888,132.6150
16,0,64,4096,139.4307
16,0,64,5832,196.3160
16,0,64,8192,273.6484
16,0,64,8748,291.8675
16,0,64,13122,435.1947
16,0,64,16384,542.0839
16,0,128,0,5.3768
16,0,128,16,6.4254
16,0,128,32,7.4740
16,0,128,64,9.5711
16,0,128,128,13.7654
16,0,128,256,22.1540
16,0,128,512,38.9313
16,0,128,768,55.7085
16,0,128,1024,72.4857
16,0,128,1152,80.8743
16,0,128,1728,118.6230
16,0,128,2048,139.5946
16,0,128,2592,175.2461
16,0,128,3888,260.1808
16,0,128,4096,273.8123
16,0,128,5832,387.5828
16,0,128,8192,542.2477
16,0,128,8748,578.6858
16,0,128,13122,865.3402
16,0,128,16384,1079.1187
16,0,256,0,5.7045
16,0,256,16,7.8017
16,0,256,32,9.8988
16,0,256,64,14.0931
16,0,256,128,22.4817
16,0,256,256,39.2589
16,0,256,512,72.8134
16,0,256,768,106.3678
16,0,256,1024,139.9222
16,0,256,1152,156.6995
16,0,256,1728,232.1969
16,0,256,2048,274.1400
16,0,256,2592,345.4431
16,0,256,3888,515.3124
16,0,256,4096,542.5754
16,0,256,5832,770.1164
16,0,256,8192,1079.4463
16,0,256,8748,1152.3224
16,0,256,13122,1725.6313
16,0,256,16384,2153.1882
16,16,0,0,5.0573
16,16,1,0,5.0599
16,16,1,16,5.0681
16,16,1,32,5.0763
16,16,1,64,5.0927
16,16,1,128,5.1254
