layer,tokens,time_us
embedding,1,5.0013
embedding,2,5.0026
embedding,3,5.0038
embedding,4,5.0051
embedding,5,5.0064
embedding,6,5.0077
embedding,7,5.0090
embedding,8,5.0102
embedding,9,5.0115
embedding,10,5.0128
embedding,11,5.0141
embedding,12,5.0154
embedding,13,5.0166
embedding,14,5.0179
embedding,15,5.0192
embedding,16,5.0205
embedding,20,5.0256
embedding,24,5.0307
embedding,28,5.0358
embedding,32,5.0410
embedding,36,5.0461
embedding,40,5.0512
embedding,44,5.0563
embedding,48,5.0614
embedding,52,5.0666
embedding,56,5.0717
embedding,60,5.0768
embedding,64,5.0819
embedding,80,5.1024
embedding,96,5.1229
embedding,112,5.1434
embedding,128,5.1638
embedding,144,5.1843
embedding,160,5.2048
embedding,176,5.2253
embedding,192,5.2458
embedding,208,5.2662
embedding,224,5.2867
embedding,240,5.3072
embedding,256,5.3277
embedding,272,5.3482
embedding,288,5.3686
embedding,304,5.3891
embedding,320,5.4096
embedding,336,5.4301
embedding,352,5.4506
embedding,368,5.4710
embedding,384,5.4915
embedding,400,5.5120
embedding,416,5.5325
embedding,432,5.5530
embedding,448,5.5734
embedding,464,5.5939
embedding,480,5.6144
embedding,496,5.6349
embedding,512,5.6554
embedding,528,5.6758
embedding,544,5.6963
embedding,560,5.7168
embedding,576,5.7373
embedding,592,5.7578
embedding,608,5.7782
embedding,624,5.7987
embedding,640,5.8192
embedding,656,5.8397
embedding,672,5.8602
embedding,688,5.8806
embedding,704,5.9011
embedding,720,5.9216
embedding,736,5.9421
embedding,752,5.9626
embedding,768,5.9830
embedding,784,6.0035
embedding,800,6.0240
embedding,816,6.0445
embedding,832,6.0650
embedding,848,6.0854
embedding,864,6.1059
embedding,880,6.1264
embedding,896,6.1469
embedding,912,6.1674
embedding,928,6.1878
embedding,944,6.2083
embedding,960,6.2288
embedding,976,6.2493
embedding,992,6.2698
embedding,1008,6.2902
embedding,1024,6.3107
embedding,1040,6.3312
embedding,1056,6.3517
embedding,1072,6.3722
embedding,1088,6.3926
embedding,1104,6.4131
embedding,1120,6.4336
embedding,1136,6.4541
embedding,1152,6.4746
embedding,1168,6.4950
embedding,1184,6.5155
embedding,1200,6.5360
embedding,1216,6.5565
embedding,1232,6.5770
embedding,1248,6.5974
embedding,1264,6.6179
embedding,1280,6.6384
embedding,1296,6.6589
embedding,1312,6.6794
embedding,1328,6.6998
embedding,1344,6.7203
embedding,1360,6.7408
embedding,1376,6.7613
embedding,1392,6.7818
embedding,1408,6.8022
embedding,1424,6.8227
embedding,1440,6.8432
embedding,1456,6.8637
embedding,1472,6.8842
embedding,1488,6.9046
embedding,1504,6.9251
embedding,1520,6.9456
embedding,1536,6.9661
embedding,1552,6.9866
embedding,1568,7.0070
embedding,1584,7.0275
embedding,1600,7.0480
embedding,1616,7.0685
embedding,1632,7.0890
embedding,1648,7.1094
embedding,1664,7.1299
embedding,1680,7.1504
embedding,1696,7.1709
embedding,1712,7.1914
embedding,1728,7.2118
embedding,1744,7.2323
embedding,1760,7.2528
embedding,1776,7.2733
embedding,1792,7.2938
embedding,1808,7.3142
embedding,1824,7.3347
embedding,1840,7.3552
embedding,1856,7.3757
embedding,1872,7.3962
embedding,1888,7.4166
embedding,1904,7.4371
embedding,1920,7.4576
embedding,1936,7.4781
embedding,1952,7.4986
embedding,1968,7.5190
embedding,1984,7.5395
embedding,2000,7.5600
embedding,2016,7.5805
embedding,2032,7.6010
embedding,2048,7.6214
layernorm,1,5.0026
layernorm,2,5.0051
layernorm,3,5.0077
layernorm,4,5.0102
layernorm,5,5.0128
layernorm,6,5.0154
layernorm,7,5.0179
layernorm,8,5.0205
layernorm,9,5.0230
layernorm,10,5.0256
layernorm,11,5.0282
layernorm,12,5.0307
layernorm,13,5.0333
layernorm,14,5.0358
layernorm,15,5.0384
layernorm,16,5.0410
layernorm,20,5.0512
layernorm,24,5.0614
layernorm,28,5.0717
layernorm,32,5.0819
layernorm,36,5.0922
layernorm,40,5.1024
layernorm,44,5.1126
layernorm,48,5.1229
layernorm,52,5.1331
layernorm,56,5.1434
layernorm,60,5.1536
layernorm,64,5.1638
layernorm,80,5.2048
layernorm,96,5.2458
layernorm,112,5.2867
layernorm,128,5.3277
layernorm,144,5.3686
layernorm,160,5.4096
layernorm,176,5.4506
layernorm,192,5.4915
layernorm,208,5.5325
layernorm,224,5.5734
layernorm,240,5.6144
layernorm,256,5.6554
layernorm,272,5.6963
layernorm,288,5.7373
layernorm,304,5.7782
layernorm,320,5.8192
layernorm,336,5.8602
layernorm,352,5.9011
layernorm,368,5.9421
layernorm,384,5.9830
layernorm,400,6.0240
layernorm,416,6.0650
layernorm,432,6.1059
layernorm,448,6.1469
layernorm,464,6.1878
layernorm,480,6.2288
layernorm,496,6.2698
layernorm,512,6.3107
layernorm,528,6.3517
layernorm,544,6.3926
layernorm,560,6.4336
layernorm,576,6.4746
layernorm,592,6.5155
layernorm,608,6.5565
layernorm,624,6.5974
layernorm,640,6.6384
layernorm,656,6.6794
layernorm,672,6.7203
layernorm,688,6.7613
layernorm,704,6.8022
layernorm,720,6.8432
layernorm,736,6.8842
layernorm,752,6.9251
layernorm,768,6.9661
layernorm,784,7.0070
layernorm,800,7.0480
layernorm,816,7.0890
layernorm,832,7.1299
layernorm,848,7.1709
layernorm,864,7.2118
layernorm,880,7.2528
layernorm,896,7.2938
layernorm,912,7.3347
layernorm,928,7.3757
layernorm,944,7.4166
layernorm,960,7.4576
layernorm,976,7.4986
layernorm,992,7.5395
layernorm,1008,7.5805
layernorm,1024,7.6214
layernorm,1040,7.6624
layernorm,1056,7.7034
layernorm,1072,7.7443
layernorm,1088,7.7853
layernorm,1104,7.8262
layernorm,1120,7.8672
layernorm,1136,7.9082
layernorm,1152,7.9491
layernorm,1168,7.9901
layernorm,1184,8.0310
layernorm,1200,8.0720
layernorm,1216,8.1130
layernorm,1232,8.1539
layernorm,1248,8.1949
layernorm,1264,8.2358
layernorm,1280,8.2768
layernorm,1296,8.3178
layernorm,1312,8.3587
layernorm,1328,8.3997
layernorm,1344,8.4406
layernorm,1360,8.4816
layernorm,1376,8.5226
layernorm,1392,8.5635
layernorm,1408,8.6045
layernorm,1424,8.6454
layernorm,1440,8.6864
layernorm,1456,8.7274
layernorm,1472,8.7683
layernorm,1488,8.8093
layernorm,1504,8.8502
layernorm,1520,8.8912
layernorm,1536,8.9322
layernorm,1552,8.9731
layernorm,1568,9.0141
layernorm,1584,9.0550
layernorm,1600,9.0960
layernorm,1616,9.1370
layernorm,1632,9.1779
layernorm,1648,9.2189
layernorm,1664,9.2598
layernorm,1680,9.3008
layernorm,1696,9.3418
layernorm,1712,9.3827
layernorm,1728,9.4237
layernorm,1744,9.4646
layernorm,1760,9.5056
layernorm,1776,9.5466
layernorm,1792,9.5875
layernorm,1808,9.6285
layernorm,1824,9.6694
layernorm,1840,9.7104
layernorm,1856,9.7514
layernorm,1872,9.7923
layernorm,1888,9.8333
layernorm,1904,9.8742
layernorm,1920,9.9152
layernorm,1936,9.9562
layernorm,1952,9.9971
layernorm,1968,10.0381
layernorm,1984,10.0790
layernorm,2000,10.1200
layernorm,2016,10.1610
layernorm,2032,10.2019
layernorm,2048,10.2429
qkv_proj,1,14.1781
qkv_proj,2,14.1812
qkv_proj,3,14.1843
qkv_proj,4,14.1873
qkv_proj,5,14.1904
qkv_proj,6,14.1935
qkv_proj,7,14.1965
qkv_proj,8,14.1996
qkv_proj,9,14.2027
qkv_proj,10,14.2058
qkv_proj,11,14.2088
qkv_proj,12,14.2119
qkv_proj,13,14.2150
qkv_proj,14,14.2180
qkv_proj,15,14.2211
qkv_proj,16,14.2242
qkv_proj,20,14.2365
qkv_proj,24,14.2488
qkv_proj,28,14.2611
qkv_proj,32,14.2733
qkv_proj,36,14.2856
qkv_proj,40,14.2979
qkv_proj,44,14.3102
qkv_proj,48,14.3225
qkv_proj,52,14.3348
qkv_proj,56,14.3471
qkv_proj,60,14.3594
qkv_proj,64,14.3716
qkv_proj,80,14.4208
qkv_proj,96,14.4700
qkv_proj,112,14.5191
qkv_proj,128,14.5683
qkv_proj,144,14.6174
qkv_proj,160,14.6666
qkv_proj,176,14.7157
qkv_proj,192,14.7649
qkv_proj,208,14.8140
qkv_proj,224,15.4392
qkv_proj,240,16.1848
qkv_proj,256,16.9305
qkv_proj,272,17.6761
qkv_proj,288,18.4218
qkv_proj,304,19.1674
qkv_proj,320,19.9131
qkv_proj,336,20.6587
qkv_proj,352,21.4044
qkv_proj,368,22.1500
qkv_proj,384,22.8957
qkv_proj,400,23.6414
qkv_proj,416,24.3870
qkv_proj,432,25.1327
qkv_proj,448,25.8783
qkv_proj,464,26.6240
qkv_proj,480,27.3696
qkv_proj,496,28.1153
qkv_proj,512,28.8609
qkv_proj,528,29.6066
qkv_proj,544,30.3522
qkv_proj,560,31.0979
qkv_proj,576,31.8435
qkv_proj,592,32.5892
qkv_proj,608,33.3349
qkv_proj,624,34.0805
qkv_proj,640,34.8262
qkv_proj,656,35.5718
qkv_proj,672,36.3175
qkv_proj,688,37.0631
qkv_proj,704,37.8088
qkv_proj,720,38.5544
qkv_proj,736,39.3001
qkv_proj,752,40.0457
qkv_proj,768,40.7914
qkv_proj,784,41.5370
qkv_proj,800,42.2827
qkv_proj,816,43.0284
qkv_proj,832,43.7740
qkv_proj,848,44.5197
qkv_proj,864,45.2653
qkv_proj,880,46.0110
qkv_proj,896,46.7566
qkv_proj,912,47.5023
qkv_proj,928,48.2479
qkv_proj,944,48.9936
qkv_proj,960,49.7392
qkv_proj,976,50.4849
qkv_proj,992,51.2306
qkv_proj,1008,51.9762
qkv_proj,1024,52.7219
qkv_proj,1040,53.4675
qkv_proj,1056,54.2132
qkv_proj,1072,54.9588
qkv_proj,1088,55.7045
qkv_proj,1104,56.4501
qkv_proj,1120,57.1958
qkv_proj,1136,57.9414
qkv_proj,1152,58.6871
qkv_proj,1168,59.4327
qkv_proj,1184,60.1784
qkv_proj,1200,60.9241
qkv_proj,1216,61.6697
qkv_proj,1232,62.4154
qkv_proj,1248,63.1610
qkv_proj,1264,63.9067
qkv_proj,1280,64.6523
qkv_proj,1296,65.3980
qkv_proj,1312,66.1436
qkv_proj,1328,66.8893
qkv_proj,1344,67.6349
qkv_proj,1360,68.3806
qkv_proj,1376,69.1262
qkv_proj,1392,69.8719
qkv_proj,1408,70.6176
qkv_proj,1424,71.3632
qkv_proj,1440,72.1089
qkv_proj,1456,72.8545
qkv_proj,1472,73.6002
qkv_proj,1488,74.3458
qkv_proj,1504,75.0915
qkv_proj,1520,75.8371
qkv_proj,1536,76.5828
qkv_proj,1552,77.3284
qkv_proj,1568,78.0741
qkv_proj,1584,78.8198
qkv_proj,1600,79.5654
qkv_proj,1616,80.3111
qkv_proj,1632,81.0567
qkv_proj,1648,81.8024
qkv_proj,1664,82.5480
qkv_proj,1680,83.2937
qkv_proj,1696,84.0393
qkv_proj,1712,84.7850
qkv_proj,1728,85.5306
qkv_proj,1744,86.2763
qkv_proj,1760,87.0219
qkv_proj,1776,87.7676
qkv_proj,1792,88.5133
qkv_proj,1808,89.2589
qkv_proj,1824,90.0046
qkv_proj,1840,90.7502
qkv_proj,1856,91.4959
qkv_proj,1872,92.2415
qkv_proj,1888,92.9872
qkv_proj,1904,93.7328
qkv_proj,1920,94.4785
qkv_proj,1936,95.2241
qkv_proj,1952,95.9698
qkv_proj,1968,96.7154
qkv_proj,1984,97.4611
qkv_proj,2000,98.2068
qkv_proj,2016,98.9524
qkv_proj,2032,99.6981
qkv_proj,2048,100.4437
qk_norm,1,5.0031
qk_norm,2,5.0061
qk_norm,3,5.0092
qk_norm,4,5.0123
qk_norm,5,5.0154
qk_norm,6,5.0184
qk_norm,7,5.0215
qk_norm,8,5.0246
qk_norm,9,5.0276
qk_norm,10,5.0307
qk_norm,11,5.0338
qk_norm,12,5.0369
qk_norm,13,5.0399
qk_norm,14,5.0430
qk_norm,15,5.0461
qk_norm,16,5.0492
qk_norm,20,5.0614
qk_norm,24,5.0737
qk_norm,28,5.0860
qk_norm,32,5.0983
qk_norm,36,5.1106
qk_norm,40,5.1229
qk_norm,44,5.1352
qk_norm,48,5.1475
qk_norm,52,5.1597
qk_norm,56,5.1720
qk_norm,60,5.1843
qk_norm,64,5.1966
qk_norm,80,5.2458
qk_norm,96,5.2949
qk_norm,112,5.3441
qk_norm,128,5.3932
qk_norm,144,5.4424
qk_norm,160,5.4915
qk_norm,176,5.5407
qk_norm,192,5.5898
qk_norm,208,5.6390
qk_norm,224,5.6881
qk_norm,240,5.7373
qk_norm,256,5.7864
qk_norm,272,5.8356
qk_norm,288,5.8847
qk_norm,304,5.9339
qk_norm,320,5.9830
qk_norm,336,6.0322
qk_norm,352,6.0813
qk_norm,368,6.1305
qk_norm,384,6.1796
qk_norm,400,6.2288
qk_norm,416,6.2780
qk_norm,432,6.3271
qk_norm,448,6.3763
qk_norm,464,6.4254
qk_norm,480,6.4746
qk_norm,496,6.5237
qk_norm,512,6.5729
qk_norm,528,6.6220
qk_norm,544,6.6712
qk_norm,560,6.7203
qk_norm,576,6.7695
qk_norm,592,6.8186
qk_norm,608,6.8678
qk_norm,624,6.9169
qk_norm,640,6.9661
qk_norm,656,7.0152
qk_norm,672,7.0644
qk_norm,688,7.1135
qk_norm,704,7.1627
qk_norm,720,7.2118
qk_norm,736,7.2610
qk_norm,752,7.3101
qk_norm,768,7.3593
qk_norm,784,7.4084
qk_norm,800,7.4576
qk_norm,816,7.5068
qk_norm,832,7.5559
qk_norm,848,7.6051
qk_norm,864,7.6542
qk_norm,880,7.7034
qk_norm,896,7.7525
qk_norm,912,7.8017
qk_norm,928,7.8508
qk_norm,944,7.9000
qk_norm,960,7.9491
qk_norm,976,7.9983
qk_norm,992,8.0474
qk_norm,1008,8.0966
qk_norm,1024,8.1457
qk_norm,1040,8.1949
qk_norm,1056,8.2440
qk_norm,1072,8.2932
qk_norm,1088,8.3423
qk_norm,1104,8.3915
qk_norm,1120,8.4406
qk_norm,1136,8.4898
qk_norm,1152,8.5389
qk_norm,1168,8.5881
qk_norm,1184,8.6372
qk_norm,1200,8.6864
qk_norm,1216,8.7356
qk_norm,1232,8.7847
qk_norm,1248,8.8339
qk_norm,1264,8.8830
qk_norm,1280,8.9322
qk_norm,1296,8.9813
qk_norm,1312,9.0305
qk_norm,1328,9.0796
qk_norm,1344,9.1288
qk_norm,1360,9.1779
qk_norm,1376,9.2271
qk_norm,1392,9.2762
qk_norm,1408,9.3254
qk_norm,1424,9.3745
qk_norm,1440,9.4237
qk_norm,1456,9.4728
qk_norm,1472,9.5220
qk_norm,1488,9.5711
qk_norm,1504,9.6203
qk_norm,1520,9.6694
qk_norm,1536,9.7186
qk_norm,1552,9.7677
qk_norm,1568,9.8169
qk_norm,1584,9.8660
qk_norm,1600,9.9152
qk_norm,1616,9.9644
qk_norm,1632,10.0135
qk_norm,1648,10.0627
qk_norm,1664,10.1118
qk_norm,1680,10.1610
qk_norm,1696,10.2101
qk_norm,1712,10.2593
qk_norm,1728,10.3084
qk_norm,1744,10.3576
qk_norm,1760,10.4067
qk_norm,1776,10.4559
qk_norm,1792,10.5050
qk_norm,1808,10.5542
qk_norm,1824,10.6033
qk_norm,1840,10.6525
qk_norm,1856,10.7016
qk_norm,1872,10.7508
qk_norm,1888,10.7999
qk_norm,1904,10.8491
qk_norm,1920,10.8982
qk_norm,1936,10.9474
qk_norm,1952,10.9965
