tokens,activated_experts,time_us
1,8,256.6649
1,16,508.3231
1,32,1011.6396
1,64,2018.2726
1,128,4031.5385
2,8,256.6716
2,16,508.3298
2,32,1011.6463
2,64,2018.2792
2,128,4031.5452
4,8,256.6849
4,16,508.3431
4,32,1011.6596
4,64,2018.2925
4,128,4031.5585
8,8,256.7115
8,16,508.3697
8,32,1011.6862
8,64,2018.3192
8,128,4031.5851
16,8,256.7647
16,16,508.4230
16,32,1011.7395
16,64,2018.3724
16,128,4031.6383
32,8,256.8712
32,16,508.5295
32,32,1011.8460
32,64,2018.4789
32,128,4031.7448
64,8,257.0842
64,16,508.7425
64,32,1012.0589
64,64,2018.6919
64,128,4031.9578
128,8,257.5102
128,16,509.1684
128,32,1012.4849
128,64,2019.1179
128,128,4032.3838
256,8,258.3622
256,16,510.0204
256,32,1013.3369
256,64,2019.9699
256,128,4033.2358
512,8,260.0661
512,16,511.7244
512,32,1015.0408
512,64,2021.6738
512,128,4034.9397
1024,8,263.4740
1024,16,515.1322
1024,32,1018.4487
1024,64,2025.0817
1024,128,4038.3476
2048,8,332.2356
2048,16,521.9480
2048,32,1025.2644
2048,64,2031.8974
2048,128,4045.1633
