layer,sequences,time_us
lm_head,1,263.6732
lm_head,2,263.7250
lm_head,3,263.7768
lm_head,4,263.8286
lm_head,5,263.8804
lm_head,6,263.9322
lm_head,7,263.9840
lm_head,8,264.0358
lm_head,9,264.0876
lm_head,10,264.1394
lm_head,11,264.1912
lm_head,12,264.2429
lm_head,13,264.2947
lm_head,14,264.3465
lm_head,15,264.3983
lm_head,16,264.4501
lm_head,20,264.6573
lm_head,24,264.8644
lm_head,28,265.0716
lm_head,32,265.2788
lm_head,36,265.4860
lm_head,40,265.6931
lm_head,44,265.9003
lm_head,48,266.1075
lm_head,52,266.3146
lm_head,56,266.5218
lm_head,60,266.7290
lm_head,64,266.9361
lm_head,80,267.7648
lm_head,96,268.5935
lm_head,112,269.4221
lm_head,128,270.2508
lm_head,144,271.0795
lm_head,160,271.9082
lm_head,176,272.7368
lm_head,192,273.5655
lm_head,208,278.2356
lm_head,224,299.2537
lm_head,240,320.2719
lm_head,256,341.2900
sampler,1,5.0505
sampler,2,5.1010
sampler,3,5.1515
sampler,4,5.2020
sampler,5,5.2526
sampler,6,5.3031
sampler,7,5.3536
sampler,8,5.4041
sampler,9,5.4546
sampler,10,5.5051
sampler,11,5.5556
sampler,12,5.6061
sampler,13,5.6567
sampler,14,5.7072
sampler,15,5.7577
sampler,16,5.8082
sampler,20,6.0102
sampler,24,6.2123
sampler,28,6.4143
sampler,32,6.6164
sampler,36,6.8184
sampler,40,7.0205
sampler,44,7.2225
sampler,48,7.4246
sampler,52,7.6266
sampler,56,7.8287
sampler,60,8.0307
sampler,64,8.2328
sampler,80,9.0410
sampler,96,9.8492
sampler,112,10.6573
sampler,128,11.4655
sampler,144,12.2737
sampler,160,13.0819
sampler,176,13.8901
sampler,192,14.6983
sampler,208,15.5065
sampler,224,16.3147
sampler,240,17.1229
sampler,256,17.9311
