tokens,activated_experts,time_us
1,8,43.9467
2,8,52.6517
2,16,69.653
4,8,82.9223
4,16,117.385
4,32,119.371
8,8,50.1017
8,16,75.21
8,32,124.874
8,64,222.132
16,8,49.6313
16,16,75.1677
16,32,125.216
16,64,222.921
16,128,414.132
32,8,58.091
32,16,76.778
32,32,127.306
32,64,226.421
32,128,417.587
64,8,60.512
64,16,82.0577
64,32,131.039
64,64,230.122
64,128,425.695
128,8,60.6073
128,16,86.3473
128,32,136.821
128,64,241.31
128,128,444.117
256,8,82.9013
256,16,97.888
256,32,142.826
256,64,248.714
256,128,453.717
512,8,141.366
512,16,144.928
512,32,171.317
512,64,263.713
512,128,469.631
1024,8,198.879
1024,16,200.79
1024,32,220.586
1024,64,302.549
1024,128,517.247
2048,8,379.743
2048,16,381.374
2048,32,388.255
2048,64,421.803
2048,128,576.702
