layer,tokens,time_us
embedding,1,3.75467
embedding,2,3.968
embedding,3,4.192
embedding,4,4.448
embedding,5,4.85333
embedding,6,5.09867
embedding,7,5.35467
embedding,8,5.63233
embedding,9,5.941
embedding,10,6.17533
embedding,11,6.39
embedding,12,6.67733
embedding,13,7.136
embedding,14,7.424
embedding,15,7.62667
embedding,16,7.616
embedding,20,3.33867
embedding,24,3.27467
embedding,28,3.32767
embedding,32,3.16767
embedding,36,3.264
embedding,40,3.33867
embedding,44,3.28567
embedding,48,3.06133
embedding,52,3.34933
embedding,56,3.232
embedding,60,3.296
embedding,64,3.10367
embedding,80,3.147
embedding,96,3.12533
embedding,112,3.136
embedding,128,3.16767
embedding,144,3.63767
embedding,160,3.701
embedding,176,3.648
embedding,192,3.733
embedding,208,3.70167
embedding,224,3.68033
embedding,240,3.80833
embedding,256,3.79767
embedding,272,4.192
embedding,288,4.182
embedding,304,4.171
embedding,320,4.15967
embedding,336,4.21367
embedding,352,4.20267
embedding,368,4.25633
embedding,384,4.256
embedding,400,4.62933
embedding,416,4.66133
embedding,432,4.704
embedding,448,4.68267
embedding,464,4.69333
embedding,480,4.69333
embedding,496,4.70433
embedding,512,4.71467
embedding,528,4.73633
embedding,544,4.768
embedding,560,4.78933
embedding,576,4.79967
embedding,592,4.81
embedding,608,4.821
embedding,624,4.8
embedding,640,4.81133
embedding,656,4.81033
embedding,672,4.86467
embedding,688,4.939
embedding,704,4.907
embedding,720,4.96067
embedding,736,4.93833
embedding,752,4.96
embedding,768,4.97067
embedding,784,5.01333
embedding,800,5.04533
embedding,816,5.06667
embedding,832,5.06633
embedding,848,5.066
embedding,864,5.078
embedding,880,5.09867
embedding,896,5.11967
embedding,912,5.152
embedding,928,5.184
embedding,944,5.19533
embedding,960,5.248
embedding,976,5.18467
embedding,992,5.19533
embedding,1008,5.237
embedding,1024,5.22667
embedding,1040,5.23767
embedding,1056,5.25833
embedding,1072,5.653
embedding,1088,5.79233
embedding,1104,5.76
embedding,1120,5.71767
embedding,1136,5.80333
embedding,1152,5.81367
embedding,1168,5.728
embedding,1184,5.82367
embedding,1200,5.803
embedding,1216,5.824
embedding,1232,5.74867
embedding,1248,5.75967
embedding,1264,5.77067
embedding,1280,5.813
embedding,1296,5.771
embedding,1312,5.792
embedding,1328,5.83467
embedding,1344,5.88833
embedding,1360,5.835
embedding,1376,5.92033
embedding,1392,5.87733
embedding,1408,5.931
embedding,1424,5.96267
embedding,1440,5.952
embedding,1456,5.90933
embedding,1472,5.941
embedding,1488,5.86633
embedding,1504,5.86667
embedding,1520,5.93033
embedding,1536,5.952
embedding,1552,5.91
embedding,1568,5.92
embedding,1584,5.97333
embedding,1600,5.95233
embedding,1616,5.95267
embedding,1632,5.96267
embedding,1648,5.96267
embedding,1664,5.952
embedding,1680,5.99467
embedding,1696,6.02667
embedding,1712,6.01533
embedding,1728,6.037
embedding,1744,6.069
embedding,1760,6.01533
embedding,1776,6.06933
embedding,1792,6.133
embedding,1808,6.08
embedding,1824,6.23
embedding,1840,6.18667
embedding,1856,6.15467
embedding,1872,6.21867
embedding,1888,6.21833
embedding,1904,6.18667
embedding,1920,6.208
embedding,1936,6.23933
embedding,1952,6.26133
embedding,1968,6.33567
embedding,1984,6.30367
embedding,2000,6.32567
embedding,2016,6.336
embedding,2032,6.32467
embedding,2048,6.357
final_layernorm,1,2.507
final_layernorm,2,2.45367
final_layernorm,3,2.50667
final_layernorm,4,2.432
final_layernorm,5,2.47467
final_layernorm,6,2.432
final_layernorm,7,2.36833
final_layernorm,8,2.46367
final_layernorm,9,2.33633
final_layernorm,10,2.37867
final_layernorm,11,2.34667
final_layernorm,12,2.42133
final_layernorm,13,2.34633
final_layernorm,14,2.37867
final_layernorm,15,2.42133
final_layernorm,16,2.421
final_layernorm,20,2.43167
final_layernorm,24,2.44267
final_layernorm,28,2.45333
final_layernorm,32,2.35733
final_layernorm,36,2.368
final_layernorm,40,2.38933
final_layernorm,44,2.37867
final_layernorm,48,2.38933
final_layernorm,52,2.42133
final_layernorm,56,2.421
final_layernorm,60,2.42133
final_layernorm,64,2.37933
final_layernorm,80,2.443
final_layernorm,96,2.45367
final_layernorm,112,2.49633
final_layernorm,128,2.54933
final_layernorm,144,2.58133
final_layernorm,160,2.592
final_layernorm,176,2.645
final_layernorm,192,2.68767
final_layernorm,208,2.69867
final_layernorm,224,2.741
final_layernorm,240,2.869
final_layernorm,256,2.784
final_layernorm,272,2.784
final_layernorm,288,2.848
final_layernorm,304,2.912
final_layernorm,320,2.901
final_layernorm,336,2.97633
final_layernorm,352,3.008
final_layernorm,368,3.02933
final_layernorm,384,3.05067
final_layernorm,400,3.10367
final_layernorm,416,3.168
final_layernorm,432,3.22133
final_layernorm,448,3.28533
final_layernorm,464,3.27467
final_layernorm,480,3.40333
final_layernorm,496,3.43467
final_layernorm,512,3.37067
final_layernorm,528,3.40267
final_layernorm,544,3.52033
final_layernorm,560,3.70133
