layer,sequences,time_us
lm_head,1,109.045
lm_head,2,109.013
lm_head,3,109.568
lm_head,4,110.133
lm_head,5,110.24
lm_head,6,110.251
lm_head,7,110.624
lm_head,8,111.125
lm_head,9,111.306
lm_head,10,111.403
lm_head,11,111.819
lm_head,12,111.755
lm_head,13,111.69
lm_head,14,112.063
lm_head,15,112.416
lm_head,16,112.181
lm_head,20,112.928
lm_head,24,113.269
lm_head,28,113.738
lm_head,32,114.251
lm_head,36,114.731
lm_head,40,115.573
lm_head,44,115.616
lm_head,48,115.648
lm_head,52,115.914
lm_head,56,116.213
lm_head,60,116.725
lm_head,64,116.81
lm_head,80,118.208
lm_head,96,120.181
lm_head,112,121.482
lm_head,128,122.815
lm_head,144,124.373
lm_head,160,125.365
lm_head,176,127.488
lm_head,192,128.906
lm_head,208,130.592
lm_head,224,134.474
lm_head,240,136.747
lm_head,256,133.13
sampler,1,14.5707
sampler,2,14.4743
sampler,3,14.7087
sampler,4,14.8587
sampler,5,15.2117
sampler,6,15.3173
sampler,7,15.669
sampler,8,17.76
sampler,9,18.091
sampler,10,18.336
sampler,11,18.9107
sampler,12,18.6987
sampler,13,19.157
sampler,14,20.4053
sampler,15,21.7493
sampler,16,21.8247
sampler,20,23.0827
sampler,24,26.7527
sampler,28,29.1937
sampler,32,31.7867
sampler,36,33.728
sampler,40,37.323
sampler,44,37.3547
sampler,48,40.2243
sampler,52,45.781
sampler,56,48.9497
sampler,60,52.7363
sampler,64,56.427
sampler,80,68.6823
sampler,96,81.387
sampler,112,93.3857
sampler,128,109.226
sampler,144,119.241
sampler,160,130.837
sampler,176,134.698
sampler,192,154.559
sampler,208,168.554
sampler,224,184.35
sampler,240,191.945
sampler,256,202.783
