prefill_chunk,kv_prefill,n_decode,kv_decode,time_us
0,0,1,16,11.1683
0,0,1,32,11.3073
0,0,1,64,11.5303
0,0,1,128,12.672
0,0,1,256,13.419
0,0,1,512,14.9227
0,0,1,1024,17.0987
0,0,1,2048,16.8213
0,0,1,4096,17.1953
0,0,1,8192,19.339
0,0,1,16384,22.88
0,0,2,16,11.296
0,0,2,32,11.392
0,0,2,64,11.2747
0,0,2,128,12.671
0,0,2,256,13.419
0,0,2,512,14.9757
0,0,2,1024,16.7577
0,0,2,2048,16.7787
0,0,2,4096,17.4937
0,0,2,8192,20.139
0,0,2,16384,25.472
0,0,4,16,11.5303
0,0,4,32,11.4237
0,0,4,64,11.477
0,0,4,128,12.556
0,0,4,256,13.7183
0,0,4,512,15.689
0,0,4,1024,16.565
0,0,4,2048,17.046
0,0,4,4096,18.3887
0,0,4,8192,22.197
0,0,4,16384,31.9043
0,0,8,16,11.6803
0,0,8,32,11.6907
0,0,8,64,11.6483
0,0,8,128,12.939
0,0,8,256,13.8243
0,0,8,512,16.2783
0,0,8,1024,16.9387
0,0,8,2048,17.8033
0,0,8,4096,21.0343
0,0,8,8192,29.3863
0,0,8,16384,43.2533
0,0,16,16,11.8947
0,0,16,32,11.9463
0,0,16,64,12
0,0,16,128,12.992
0,0,16,256,14.0273
0,0,16,512,16.629
0,0,16,1024,18.2513
0,0,16,2048,21.1627
0,0,16,4096,27.8303
0,0,16,8192,42.0267
0,0,16,16384,65.7493
0,0,32,16,12.651
0,0,32,32,12.6403
0,0,32,64,12.5757
0,0,32,128,13.8457
0,0,32,256,14.8473
0,0,32,512,18.7303
0,0,32,1024,21.7713
0,0,32,2048,28.192
0,0,32,4096,40.5657
0,0,32,8192,65.216
0,0,32,16384,110.933
0,0,64,16,13.0353
0,0,64,32,12.9703
0,0,64,64,12.9493
0,0,64,128,14.23
0,0,64,256,15.3377
0,0,64,512,22.3673
0,0,64,1024,30.688
0,0,64,2048,42.5067
0,0,64,4096,64.5753
0,0,64,8192,110.113
0,0,64,16384,199.083
0,0,128,16,13.2697
0,0,128,32,13.44
0,0,128,64,13.643
0,0,128,128,16.2237
0,0,128,256,19.6157
0,0,128,512,31.3493
0,0,128,1024,45.7067
0,0,128,2048,68.1063
0,0,128,4096,115.243
0,0,128,8192,199.371
0,0,128,16384,374.423
0,0,256,16,18.4103
0,0,256,32,18.923
0,0,256,64,19.5957
0,0,256,128,25.4293
0,0,256,256,32.1387
0,0,256,512,52.075
0,0,256,1024,75.0197
0,0,256,2048,117.484
0,0,256,4096,206.785
0,0,256,8192,375.275
0,0,256,16384,719.928
16,0,0,0,11.541
16,0,1,16,11.3813
16,0,1,32,11.638
16,0,1,64,11.7547
16,0,1,128,12.522
16,0,1,256,13.5147
16,0,1,512,15.797
16,0,1,1024,16.8
16,0,1,2048,16.64
16,0,1,4096,17.568
16,0,1,8192,19.0933
16,0,1,16384,22.4533
16,0,2,16,11.7547
16,0,2,32,11.6797
16,0,2,64,11.7767
16,0,2,128,12.8957
16,0,2,256,13.8563
16,0,2,512,15.9043
16,0,2,1024,16.9493
16,0,2,2048,17.013
16,0,2,4096,17.3333
16,0,2,8192,19.7757
16,0,2,16384,25.621
16,0,4,16,11.787
16,0,4,32,11.637
16,0,4,64,11.7217
16,0,4,128,12.9283
16,0,4,256,13.8663
16,0,4,512,16.352
16,0,4,1024,17.387
16,0,4,2048,17.3757
16,0,4,4096,18.3147
16,0,4,8192,22.827
16,0,4,16384,32.1593
16,0,8,16,11.6163
16,0,8,32,11.7223
16,0,8,64,11.8617
16,0,8,128,12.9063
16,0,8,256,13.9517
16,0,8,512,16.0747
16,0,8,1024,17.1733
16,0,8,2048,17.9837
16,0,8,4096,20.6507
16,0,8,8192,29.6
16,0,8,16384,43.7867
16,0,16,16,12.096
16,0,16,32,11.8717
16,0,16,64,11.8613
16,0,16,128,13.184
16,0,16,256,14.187
16,0,16,512,17.2263
16,0,16,1024,18.656
16,0,16,2048,21.184
16,0,16,4096,28.2027
16,0,16,8192,41.9207
16,0,16,16384,65.611
16,0,32,16,12.7043
16,0,32,32,12.7673
16,0,32,64,12.586
16,0,32,128,13.9317
16,0,32,256,14.89
16,0,32,512,18.667
16,0,32,1024,21.8877
16,0,32,2048,28.6403
16,0,32,4096,41.2053
16,0,32,8192,64.118
16,0,32,16384,111.232
16,0,64,16,12.7793
16,0,64,32,12.7567
16,0,64,64,13.12
16,0,64,128,14.3153
16,0,64,256,15.4233
16,0,64,512,22.7417
16,0,64,1024,30.507
16,0,64,2048,43.393
16,0,64,4096,65.9947
16,0,64,8192,110.283
16,0,64,16384,201.173
16,0,128,16,13.152
16,0,128,32,13.472
16,0,128,64,13.4833
16,0,128,128,16.0537
16,0,128,256,19.264
16,0,128,512,31.84
16,0,128,1024,45.8237
16,0,128,2048,68.5663
16,0,128,4096,114.902
16,0,128,8192,198.636
16,0,128,16384,373.078
16,16,0,0,11.562
16,16,1,16,11.68
16,16,1,32,11.5417
16,16,1,64,11.5947
16,16,1,128,12.705
16,16,1,256,13.7283
16,16,1,512,15.648
16,16,1,1024,16.6723
16,16,1,2048,17.014
16,16,1,4096,17.621
16,16,1,8192,19.328
16,16,1,16384,22.7203
16,16,2,16,11.6917
16,16,2,32,11.7757
16,16,2,64,11.691
16,16,2,128,12.96
16,16,2,256,13.8777
16,16,2,512,16.1387
16,16,2,1024,17.4823
16,16,2,2048,17.1943
16,16,2,4096,17.6323
16,16,2,8192,19.9467
16,16,2,16384,25.675
16,16,4,16,11.8937
16,16,4,32,11.8397
16,16,4,64,11.936
16,16,4,128,12.9383
16,16,4,256,13.888
16,16,4,512,15.9243
16,16,4,1024,17.536
16,16,4,2048,17.749
16,16,4,4096,18.2937
16,16,4,8192,22.976
16,16,4,16384,32
16,16,8,16,11.8613
16,16,8,32,11.712
16,16,8,64,11.6377
16,16,8,128,12.917
16,16,8,256,13.9203
16,16,8,512,16.3947
16,16,8,1024,17.2373
16,16,8,2048,17.996
16,16,8,4096,21.152
16,16,8,8192,29.3343
16,16,8,16384,43.8293
16,16,16,16,11.829
16,16,16,32,11.8723
16,16,16,64,12.064
16,16,16,128,13.0987
16,16,16,256,14.1647
16,16,16,512,16.7783
16,16,16,1024,18.6027
16,16,16,2048,21.2693
16,16,16,4096,27.85
16,16,16,8192,41.8667
16,16,16,16384,66.1983
16,16,32,16,12.8533
16,16,32,32,12.522
16,16,32,64,12.81
16,16,32,128,13.877
16,16,32,256,14.827
16,16,32,512,19.0927
16,16,32,1024,22.0373
16,16,32,2048,29.1303
16,16,32,4096,41.675
16,16,32,8192,64.5223
16,16,32,16384,110.625
16,16,64,16,13.0237
16,16,64,32,13.013
16,16,64,64,12.9077
16,16,64,128,14.1763
16,16,64,256,15.2747
16,16,64,512,22.282
16,16,64,1024,30.6027
16,16,64,2048,42.9337
16,16,64,4096,65.5043
16,16,64,8192,110.08
16,16,64,16384,201.11
16,16,128,16,13.2373
16,16,128,32,13.3653
16,16,128,64,13.7593
16,16,128,128,16.1167
16,16,128,256,19.6267
16,16,128,512,31.605
16,16,128,1024,45.771
16,16,128,2048,67.1887
16,16,128,4096,115.734
16,16,128,8192,198.497
16,16,128,16384,372.151
16,32,0,0,11.6473
16,32,1,16,11.52
16,32,1,32,11.6063
16,32,1,64,11.52
16,32,1,128,12.5237
16,32,1,256,13.664
16,32,1,512,15.7867
16,32,1,1024,16.758
16,32,1,2048,16.9923
16,32,1,4096,16.9177
16,32,1,8192,18.944
16,32,1,16384,23.0293
16,32,2,16,11.7753
16,32,2,32,11.5953
16,32,2,64,11.616
16,32,2,128,12.768
16,32,2,256,13.93
16,32,2,512,15.712
16,32,2,1024,17.599
16,32,2,2048,17.5353
16,32,2,4096,17.579
16,32,2,8192,19.8403
16,32,2,16384,25.9197
16,32,4,16,11.819
16,32,4,32,11.8183
16,32,4,64,11.6903
16,32,4,128,12.811
16,32,4,256,13.9197
16,32,4,512,15.8613
16,32,4,1024,17.035
16,32,4,2048,17.5677
16,32,4,4096,18.4957
16,32,4,8192,22.8587
16,32,4,16384,32.512
16,32,8,16,11.8187
16,32,8,32,11.6057
16,32,8,64,11.733
16,32,8,128,12.8853
16,32,8,256,14.0583
16,32,8,512,16.2453
16,32,8,1024,17.184
16,32,8,2048,18.1013
16,32,8,4096,21.4507
