tokens,activated_experts,time_us
1,8,42.8167
2,8,54.165
2,16,65.419
4,8,85.3237
4,16,104.896
4,32,109.377
8,8,48.4267
8,16,71.691
8,32,115.275
8,64,197.163
16,8,48.48
16,16,72.1177
16,32,115.574
16,64,197.814
16,128,355.736
32,8,60.3097
32,16,73.7817
32,32,117.452
32,64,201.845
32,128,358.914
64,8,63.5207
64,16,78.251
64,32,129.152
64,64,208.268
64,128,371.212
128,8,65.8243
128,16,78.9767
128,32,126.518
128,64,212.384
128,128,382.252
256,8,84.0117
256,16,95.8407
256,32,135.478
256,64,221.185
256,128,390.477
512,8,153.622
512,16,167.362
512,32,191.02
512,64,238.241
512,128,407.842
1024,8,239.415
1024,16,246.583
1024,32,260.929
1024,64,300.675
1024,128,512.269
2048,8,452.547
2048,16,464.845
2048,32,486.69
2048,64,531.309
2048,128,612.921
