prefill_chunk,kv_prefill,n_decode,kv_decode,time_us
0,0,1,16,12.5543
0,0,1,32,12.7467
0,0,1,64,12.7787
0,0,1,128,14.389
0,0,1,256,15.3497
0,0,1,512,16.0533
0,0,1,1024,17.2693
0,0,1,2048,18.0053
0,0,1,4096,18.784
0,0,1,8192,20.7683
0,0,1,16384,23.3817
0,0,2,16,12.832
0,0,2,32,12.896
0,0,2,64,12.8427
0,0,2,128,14.3043
0,0,2,256,15.424
0,0,2,512,16.64
0,0,2,1024,17.4403
0,0,2,2048,18.3783
0,0,2,4096,19.488
0,0,2,8192,22.0587
0,0,2,16384,27.7017
0,0,4,16,13.1733
0,0,4,32,12.928
0,0,4,64,13.0773
0,0,4,128,14.4853
0,0,4,256,15.392
0,0,4,512,17.088
0,0,4,1024,17.7707
0,0,4,2048,18.7627
0,0,4,4096,21.7173
0,0,4,8192,26.88
0,0,4,16384,37.6107
0,0,8,16,13.088
0,0,8,32,13.1733
0,0,8,64,12.939
0,0,8,128,14.3893
0,0,8,256,15.563
0,0,8,512,17.1093
0,0,8,1024,18.6133
0,0,8,2048,20.907
0,0,8,4096,26.6243
0,0,8,8192,37.3013
0,0,8,16384,56.939
0,0,16,16,13.867
0,0,16,32,13.6533
0,0,16,64,13.696
0,0,16,128,15.2537
0,0,16,256,16.3733
0,0,16,512,19.2747
0,0,16,1024,21.4293
0,0,16,2048,27.4237
0,0,16,4096,38.08
0,0,16,8192,57.2907
0,0,16,16384,94.3473
0,0,32,16,13.8347
0,0,32,32,14.0053
0,0,32,64,13.9737
0,0,32,128,15.392
0,0,32,256,16.5873
0,0,32,512,21.8453
0,0,32,1024,28.5653
0,0,32,2048,39.9257
0,0,32,4096,59.776
0,0,32,8192,96.214
0,0,32,16384,167.564
0,0,64,16,14.496
0,0,64,32,14.7093
0,0,64,64,14.7843
0,0,64,128,17.1307
0,0,64,256,20.384
0,0,64,512,30.432
0,0,64,1024,42.923
0,0,64,2048,62.955
0,0,64,4096,98.454
0,0,64,8192,170.55
0,0,64,16384,315.831
0,0,128,16,19.094
0,0,128,32,19.3283
0,0,128,64,20.363
0,0,128,128,24.6187
0,0,128,256,29.7173
0,0,128,512,45.376
0,0,128,1024,65.92
0,0,128,2048,101.366
0,0,128,4096,172.364
0,0,128,8192,314.263
0,0,128,16384,603.213
0,0,256,16,26.987
0,0,256,32,27.0617
0,0,256,64,28.1067
0,0,256,128,35.7653
0,0,256,256,44.7577
0,0,256,512,71.2
0,0,256,1024,108.576
0,0,256,2048,178.732
0,0,256,4096,317.228
0,0,256,8192,598.072
0,0,256,16384,1166.52
16,0,0,0,15.008
16,0,1,16,15.019
16,0,1,32,15.0827
16,0,1,64,15.179
16,0,1,128,16.416
16,0,1,256,17.9947
16,0,1,512,19.6057
16,0,1,1024,19.563
16,0,1,2048,19.989
16,0,1,4096,20.9707
16,0,1,8192,23.3067
16,0,1,16384,26.1653
16,0,2,16,14.9767
16,0,2,32,15.0507
16,0,2,64,15.072
16,0,2,128,16.2987
16,0,2,256,18.2293
16,0,2,512,19.168
16,0,2,1024,19.904
16,0,2,2048,20.6403
16,0,2,4096,22.0377
16,0,2,8192,24.6933
16,0,2,16384,29.6217
16,0,4,16,15.104
16,0,4,32,14.976
16,0,4,64,15.019
16,0,4,128,16.448
16,0,4,256,18.1227
16,0,4,512,19.5627
16,0,4,1024,20.032
16,0,4,2048,21.408
16,0,4,4096,23.232
16,0,4,8192,28.2027
16,0,4,16384,39.8407
16,0,8,16,14.944
16,0,8,32,15.2
16,0,8,64,15.03
16,0,8,128,16.5547
16,0,8,256,18.1867
16,0,8,512,19.904
16,0,8,1024,20.4483
16,0,8,2048,23.008
16,0,8,4096,28.064
16,0,8,8192,38.229
16,0,8,16384,59.1683
16,0,16,16,15.4453
16,0,16,32,15.4987
16,0,16,64,15.3067
16,0,16,128,17.5573
16,0,16,256,18.4853
16,0,16,512,21.2907
16,0,16,1024,23.0613
16,0,16,2048,28.523
16,0,16,4096,39.6163
16,0,16,8192,59.5203
16,0,16,16384,97.195
16,0,32,16,15.563
16,0,32,32,15.712
16,0,32,64,15.5947
16,0,32,128,17.4613
16,0,32,256,18.9547
16,0,32,512,23.275
16,0,32,1024,29.664
16,0,32,2048,41.3123
16,0,32,4096,61.664
16,0,32,8192,100.331
16,0,32,16384,170.177
16,0,64,16,16.2563
16,0,64,32,16.4373
16,0,64,64,16.672
16,0,64,128,18.2827
16,0,64,256,21.3123
16,0,64,512,31.2423
16,0,64,1024,44.1067
16,0,64,2048,65.5043
16,0,64,4096,101.313
16,0,64,8192,173.216
16,0,64,16384,317.516
16,0,128,16,21.92
16,0,128,32,22.1333
16,0,128,64,23.0617
16,0,128,128,26.6027
16,0,128,256,31.52
16,0,128,512,46.4853
16,0,128,1024,68.63
16,0,128,2048,107.233
16,0,128,4096,176.939
16,0,128,8192,318.316
16,0,128,16384,601.891
16,16,0,0,15.0193
16,16,1,16,15.0293
16,16,1,32,15.0187
16,16,1,64,14.8587
16,16,1,128,16.4693
16,16,1,256,18.0373
16,16,1,512,19.723
16,16,1,1024,19.6167
16,16,1,2048,20.1167
16,16,1,4096,21.0133
16,16,1,8192,23.3173
16,16,1,16384,26.0373
16,16,2,16,15.0507
16,16,2,32,15.0937
16,16,2,64,15.008
16,16,2,128,16.4907
16,16,2,256,18.048
16,16,2,512,18.304
16,16,2,1024,20.0533
16,16,2,2048,20.6613
16,16,2,4096,21.8773
16,16,2,8192,24.6613
16,16,2,16384,29.2163
16,16,4,16,14.9547
16,16,4,32,14.9337
16,16,4,64,14.9547
16,16,4,128,16.416
16,16,4,256,17.8883
16,16,4,512,19.36
16,16,4,1024,19.851
