layer,tokens,time_us
embedding,1,4.256
embedding,2,4.40533
embedding,3,4.77867
embedding,4,4.94933
embedding,5,5.376
embedding,6,5.728
embedding,7,5.89867
embedding,8,6.15467
embedding,9,6.645
embedding,10,6.86967
embedding,11,7.12533
embedding,12,7.54133
embedding,13,8.05367
embedding,14,8.30933
embedding,15,8.55467
embedding,16,8.55467
embedding,20,3.75467
embedding,24,3.648
embedding,28,3.56267
embedding,32,3.552
embedding,36,3.584
embedding,40,3.58433
embedding,44,3.59467
embedding,48,3.44533
embedding,52,3.584
embedding,56,3.54133
embedding,60,3.57333
embedding,64,3.37067
embedding,80,3.52
embedding,96,3.50933
embedding,112,3.584
embedding,128,3.627
embedding,144,4.04267
embedding,160,4.032
embedding,176,4.10667
embedding,192,4.11733
embedding,208,4.02133
embedding,224,4.05333
embedding,240,4.06433
embedding,256,4.18133
embedding,272,4.512
embedding,288,4.52267
embedding,304,4.523
embedding,320,4.48
embedding,336,4.53333
embedding,352,4.53333
embedding,368,4.58667
embedding,384,4.59733
embedding,400,5.01333
embedding,416,5.03467
embedding,432,5.01367
embedding,448,5.01367
embedding,464,5.07733
embedding,480,5.07733
embedding,496,5.16267
embedding,512,5.17333
embedding,528,5.12
embedding,544,5.17333
embedding,560,5.12
embedding,576,5.16267
embedding,592,5.17367
embedding,608,5.23733
embedding,624,5.20533
embedding,640,5.19467
embedding,656,5.248
embedding,672,5.22667
embedding,688,5.32267
embedding,704,5.312
embedding,720,5.33333
embedding,736,5.35467
embedding,752,5.387
embedding,768,5.41867
embedding,784,5.376
embedding,800,5.39733
embedding,816,5.38667
embedding,832,5.451
embedding,848,5.472
embedding,864,5.46133
embedding,880,5.504
embedding,896,5.504
embedding,912,5.547
embedding,928,5.504
embedding,944,5.547
embedding,960,5.55733
embedding,976,5.568
embedding,992,5.55733
embedding,1008,5.568
embedding,1024,5.61067
embedding,1040,5.62133
embedding,1056,5.65333
embedding,1072,6.112
embedding,1088,6.06933
embedding,1104,6.10133
embedding,1120,6.08
embedding,1136,6.144
embedding,1152,6.12267
embedding,1168,6.15467
embedding,1184,6.12267
embedding,1200,6.22933
embedding,1216,6.19733
embedding,1232,6.24
embedding,1248,6.25067
embedding,1264,6.24
embedding,1280,6.24
embedding,1296,6.272
embedding,1312,6.18667
embedding,1328,6.24033
embedding,1344,6.26133
embedding,1360,6.21867
embedding,1376,6.26133
embedding,1392,6.24
embedding,1408,6.31467
embedding,1424,6.31467
embedding,1440,6.29333
embedding,1456,6.34667
embedding,1472,6.37867
embedding,1488,6.29333
embedding,1504,6.31467
embedding,1520,6.31467
embedding,1536,6.368
embedding,1552,6.379
embedding,1568,6.32533
embedding,1584,6.32567
embedding,1600,6.35767
embedding,1616,6.35733
embedding,1632,6.35733
embedding,1648,6.38933
embedding,1664,6.368
embedding,1680,6.4
embedding,1696,6.496
embedding,1712,6.4
embedding,1728,6.44267
embedding,1744,6.44267
embedding,1760,6.464
embedding,1776,6.496
embedding,1792,6.47467
embedding,1808,6.592
embedding,1824,6.53867
embedding,1840,6.528
embedding,1856,6.57067
embedding,1872,6.56
embedding,1888,6.59233
embedding,1904,6.56
embedding,1920,6.592
embedding,1936,6.656
embedding,1952,6.63467
embedding,1968,6.74133
embedding,1984,6.69867
embedding,2000,6.79467
embedding,2016,6.79467
embedding,2032,6.76267
embedding,2048,6.83733
final_layernorm,1,2.76267
final_layernorm,2,2.70933
final_layernorm,3,2.66667
final_layernorm,4,2.58133
final_layernorm,5,2.60267
final_layernorm,6,2.624
final_layernorm,7,2.61333
final_layernorm,8,2.688
final_layernorm,9,2.656
final_layernorm,10,2.63467
final_layernorm,11,2.56
