layer,sequences,time_us
lm_head,1,25.7923
lm_head,2,25.6533
lm_head,3,26.2083
lm_head,4,26.1123
lm_head,5,26.091
lm_head,6,25.9413
lm_head,7,26.016
lm_head,8,26.2187
lm_head,9,25.9307
lm_head,10,26.901
lm_head,11,26.56
lm_head,12,26.5283
lm_head,13,26.987
lm_head,14,26.5817
lm_head,15,26.592
lm_head,16,26.7097
lm_head,20,26.8907
lm_head,24,26.6027
lm_head,28,27.0187
lm_head,32,27.552
lm_head,36,27.744
lm_head,40,27.051
lm_head,44,28.1497
lm_head,48,27.4453
lm_head,52,26.3577
lm_head,56,26.3893
lm_head,60,26.72
lm_head,64,26.912
lm_head,80,28.9387
lm_head,96,28.3307
lm_head,112,29.195
lm_head,128,29.131
lm_head,144,30.3893
lm_head,160,31.4133
lm_head,176,32.6507
lm_head,192,36
lm_head,208,34.4853
lm_head,224,37.8773
lm_head,240,38.518
lm_head,256,38.624
sampler,1,15.9897
sampler,2,16.587
sampler,3,16.5227
sampler,4,16.3733
sampler,5,16.7573
sampler,6,16.6507
sampler,7,17.1093
sampler,8,19.4347
sampler,9,19.936
sampler,10,20.4163
sampler,11,20.6613
sampler,12,21.248
sampler,13,21.0347
sampler,14,22.3577
sampler,15,24.0323
sampler,16,24.139
sampler,20,25.4507
sampler,24,29.5687
sampler,28,32.128
sampler,32,36.1817
sampler,36,37.1097
sampler,40,40.2243
sampler,44,40.3413
sampler,48,43.094
sampler,52,47.6803
sampler,56,50.7633
sampler,60,54.7843
sampler,64,58.272
sampler,80,69.27
sampler,96,81.3763
sampler,112,96.8963
sampler,128,112.321
sampler,144,122.198
sampler,160,133.302
sampler,176,136.406
sampler,192,159.894
sampler,208,171.511
sampler,224,184.705
sampler,240,194.199
sampler,256,203.095
