tokens,activated_experts,time_us
1,8,61.4397
2,8,77.7927
2,16,105.528
4,8,116.183
4,16,178.871
4,32,178.979
8,8,66.477
8,16,110.924
8,32,185.283
8,64,335.386
16,8,67.7443
16,16,112.566
16,32,187.521
16,64,337.583
16,128,648.723
32,8,82.092
32,16,113.889
32,32,190.594
32,64,342.372
32,128,653.607
64,8,82.646
64,16,118.231
64,32,197.078
64,64,350.831
64,128,664.211
128,8,77.4833
128,16,118.338
128,32,207.703
128,64,362.298
128,128,672.423
256,8,120.771
256,16,152.514
256,32,221.433
256,64,375.717
256,128,691.935
512,8,175.842
512,16,199.768
512,32,255.267
512,64,396.293
512,128,719.379
1024,8,278.094
1024,16,291.928
1024,32,335.246
1024,64,446.117
1024,128,775.54
2048,8,542.652
2048,16,549.926
2048,32,575.773
2048,64,630.322
2048,128,864.81
