prefill_chunk,kv_prefill,n_decode,kv_decode,time_us
0,0,1,16,12.6077
0,0,1,32,12.672
0,0,1,64,12.5763
0,0,1,128,13.824
0,0,1,256,15.1257
0,0,1,512,16.4373
0,0,1,1024,18.3893
0,0,1,2048,18.784
0,0,1,4096,19.1893
0,0,1,8192,21.3973
0,0,1,16384,26.187
0,0,2,16,12.7143
0,0,2,32,12.725
0,0,2,64,12.736
0,0,2,128,13.8777
0,0,2,256,15.2527
0,0,2,512,16.726
0,0,2,1024,18.272
0,0,2,2048,19.0297
0,0,2,4096,19.4027
0,0,2,8192,22.155
0,0,2,16384,30.144
0,0,4,16,12.8963
0,0,4,32,12.672
0,0,4,64,12.9067
0,0,4,128,14.016
0,0,4,256,15.1897
0,0,4,512,18.273
0,0,4,1024,19.008
0,0,4,2048,18.9013
0,0,4,4096,20.758
0,0,4,8192,27.136
0,0,4,16384,39.7443
0,0,8,16,12.693
0,0,8,32,12.6613
0,0,8,64,12.6627
0,0,8,128,13.9417
0,0,8,256,15.329
0,0,8,512,18.304
0,0,8,1024,19.7977
0,0,8,2048,20.7143
0,0,8,4096,25.8567
0,0,8,8192,36.8957
0,0,8,16384,58.1443
0,0,16,16,13.344
0,0,16,32,13.4187
0,0,16,64,13.3227
0,0,16,128,14.625
0,0,16,256,15.7973
0,0,16,512,18.8263
0,0,16,1024,20.8967
0,0,16,2048,25.9313
0,0,16,4096,36.1287
0,0,16,8192,56.4913
0,0,16,16384,93.356
0,0,32,16,14.006
0,0,32,32,13.942
0,0,32,64,13.9957
0,0,32,128,15.3167
0,0,32,256,16.5337
0,0,32,512,21.142
0,0,32,1024,26.1977
0,0,32,2048,37.5263
0,0,32,4096,56.993
0,0,32,8192,102.593
0,0,32,16384,181.101
0,0,64,16,13.909
0,0,64,32,13.9523
0,0,64,64,14.0057
0,0,64,128,15.349
0,0,64,256,17.803
0,0,64,512,32.1923
0,0,64,1024,43.0407
0,0,64,2048,66.2727
0,0,64,4096,104.108
0,0,64,8192,180.782
0,0,64,16384,337.924
0,0,128,16,18.0587
0,0,128,32,18.24
0,0,128,64,18.8483
0,0,128,128,23.2647
0,0,128,256,29.494
0,0,128,512,46.6033
0,0,128,1024,70.486
0,0,128,2048,109.175
0,0,128,4096,184.845
0,0,128,8192,337.06
0,0,128,16384,644.817
0,0,256,16,22.9653
0,0,256,32,23.221
0,0,256,64,25.131
0,0,256,128,32.9073
0,0,256,256,44.9817
0,0,256,512,71.98
0,0,256,1024,107.127
0,0,256,2048,173.185
0,0,256,4096,310.874
0,0,256,8192,590.225
0,0,256,16384,1157.41
16,0,0,0,12.971
16,0,1,16,12.8967
16,0,1,32,12.864
16,0,1,64,12.9923
16,0,1,128,14.1123
16,0,1,256,15.2643
16,0,1,512,16.789
16,0,1,1024,18.0697
16,0,1,2048,18.1763
16,0,1,4096,19.3707
16,0,1,8192,21.5573
16,0,1,16384,25.824
16,0,2,16,12.9493
16,0,2,32,12.9813
16,0,2,64,12.832
16,0,2,128,14.1657
16,0,2,256,15.4777
16,0,2,512,18.1337
16,0,2,1024,19.275
16,0,2,2048,18.3043
16,0,2,4096,19.4147
16,0,2,8192,22.3257
16,0,2,16384,31.2333
16,0,4,16,13.1207
16,0,4,32,13.312
16,0,4,64,13.248
16,0,4,128,14.4537
16,0,4,256,15.7227
16,0,4,512,18.059
16,0,4,1024,19.04
16,0,4,2048,18.9767
16,0,4,4096,20.555
16,0,4,8192,27.7983
16,0,4,16384,39.9787
16,0,8,16,13.131
16,0,8,32,13.0353
16,0,8,64,13.2373
16,0,8,128,14.4327
16,0,8,256,15.563
16,0,8,512,18.1117
16,0,8,1024,19.488
16,0,8,2048,20.7897
16,0,8,4096,25.7067
16,0,8,8192,37.504
16,0,8,16384,58.401
16,0,16,16,13.451
16,0,16,32,13.728
16,0,16,64,13.6107
16,0,16,128,14.9977
16,0,16,256,16.2767
16,0,16,512,18.9657
16,0,16,1024,21.088
16,0,16,2048,26.4427
16,0,16,4096,36.352
16,0,16,8192,56.3733
16,0,16,16384,93.8257
16,0,32,16,14.2507
16,0,32,32,14.1337
16,0,32,64,13.845
16,0,32,128,15.328
16,0,32,256,16.7787
16,0,32,512,21.5253
16,0,32,1024,26.4537
16,0,32,2048,37.6117
16,0,32,4096,57.2807
16,0,32,8192,103.66
16,0,32,16384,181.773
16,0,64,16,13.8987
16,0,64,32,13.9313
16,0,64,64,13.91
16,0,64,128,15.7017
16,0,64,256,18.0053
16,0,64,512,30.9653
16,0,64,1024,42.8803
16,0,64,2048,66.657
16,0,64,4096,104.418
16,0,64,8192,181.315
16,0,64,16384,338.138
16,0,128,16,17.8133
16,0,128,32,18.219
16,0,128,64,18.9877
16,0,128,128,23.211
16,0,128,256,29.12
16,0,128,512,45.6117
16,0,128,1024,69.5467
16,0,128,2048,108.087
16,0,128,4096,184.76
16,0,128,8192,337.593
16,0,128,16384,645.213
16,16,0,0,12.9497
16,16,1,16,12.9387
16,16,1,32,12.928
16,16,1,64,12.8753
16,16,1,128,14.0803
16,16,1,256,15.317
16,16,1,512,17.824
16,16,1,1024,18.1447
16,16,1,2048,18.9233
16,16,1,4096,19.6587
16,16,1,8192,21.483
16,16,1,16384,25.4297
16,16,2,16,12.8967
16,16,2,32,12.8107
16,16,2,64,13.0457
16,16,2,128,14.166
16,16,2,256,15.296
16,16,2,512,17.152
16,16,2,1024,18.944
16,16,2,2048,19.2963
16,16,2,4096,19.6693
16,16,2,8192,22.187
16,16,2,16384,31.264
16,16,4,16,13.2583
16,16,4,32,13.227
16,16,4,64,13.3443
16,16,4,128,14.443
16,16,4,256,15.7653
16,16,4,512,17.8663
16,16,4,1024,19.168
16,16,4,2048,18.9443
16,16,4,4096,20.4697
16,16,4,8192,27.1467
16,16,4,16384,40.2347
16,16,8,16,13.1947
16,16,8,32,13.2267
16,16,8,64,13.1953
16,16,8,128,14.262
16,16,8,256,15.3927
16,16,8,512,18.219
16,16,8,1024,19.339
16,16,8,2048,20.811
16,16,8,4096,26.0163
16,16,8,8192,37.3237
16,16,8,16384,58.699
16,16,16,16,13.536
16,16,16,32,13.739
16,16,16,64,13.4397
16,16,16,128,15.04
16,16,16,256,16.1497
16,16,16,512,19.072
16,16,16,1024,20.9713
16,16,16,2048,26.144
16,16,16,4096,36.4373
16,16,16,8192,56.7897
16,16,16,16384,93.3453
16,16,32,16,14.059
16,16,32,32,14.123
16,16,32,64,14.1443
16,16,32,128,15.467
16,16,32,256,16.491
16,16,32,512,21.6637
16,16,32,1024,26.1227
16,16,32,2048,37.835
16,16,32,4096,57.2913
16,16,32,8192,104.129
16,16,32,16384,181.773
16,16,64,16,13.9527
16,16,64,32,13.9307
16,16,64,64,13.963
16,16,64,128,15.2747
16,16,64,256,17.706
16,16,64,512,31.2533
16,16,64,1024,43.0723
16,16,64,2048,66.4007
16,16,64,4096,105.26
16,16,64,8192,181.933
16,16,64,16384,337.604
16,16,128,16,18.0907
16,16,128,32,18.2187
16,16,128,64,18.9013
16,16,128,128,22.7527
16,16,128,256,28.8437
16,16,128,512,46.4747
16,16,128,1024,70.561
16,16,128,2048,108.78
16,16,128,4096,184.643
16,16,128,8192,336.356
16,16,128,16384,644.36
16,32,0,0,12.886
16,32,1,16,13.0453
16,32,1,32,12.8963
16,32,1,64,12.8857
16,32,1,128,14.0797
16,32,1,256,15.3707
16,32,1,512,17.269
16,32,1,1024,18.6453
16,32,1,2048,18.6987
16,32,1,4096,19.1897
16,32,1,8192,21.8453
16,32,1,16384,25.9847
16,32,2,16,12.992
16,32,2,32,12.9497
16,32,2,64,13.0453
16,32,2,128,14.272
16,32,2,256,15.3603
16,32,2,512,17.3973
16,32,2,1024,18.592
16,32,2,2048,18.976
16,32,2,4096,19.382
16,32,2,8192,22.464
16,32,2,16384,30.6883
16,32,4,16,13.227
16,32,4,32,13.227
16,32,4,64,13.1413
16,32,4,128,14.5173
16,32,4,256,15.734
16,32,4,512,18.0053
16,32,4,1024,18.6987
16,32,4,2048,19.1467
16,32,4,4096,20.3203
16,32,4,8192,27.4783
16,32,4,16384,40.1817
16,32,8,16,13.2583
16,32,8,32,13.0133
16,32,8,64,13.3447
16,32,8,128,14.411
16,32,8,256,15.6163
16,32,8,512,18.3257
16,32,8,1024,19.4033
16,32,8,2048,20.9067
16,32,8,4096,26.2187
16,32,8,8192,37.3453
16,32,8,16384,59.3717
16,32,16,16,13.5787
16,32,16,32,13.6213
16,32,16,64,13.7283
16,32,16,128,14.8803
16,32,16,256,16.1283
16,32,16,512,20.064
16,32,16,1024,20.918
16,32,16,2048,25.7813
16,32,16,4096,36.395
16,32,16,8192,57.1637
16,32,16,16384,93.1957
16,32,32,16,14.0377
16,32,32,32,14.0267
16,32,32,64,14.2293
16,32,32,128,15.5943
16,32,32,256,16.7257
16,32,32,512,21.4827
16,32,32,1024,26.176
16,32,32,2048,38.07
16,32,32,4096,57.1413
16,32,32,8192,102.934
16,32,32,16384,182.541
16,32,64,16,13.9523
16,32,64,32,13.878
16,32,64,64,14.0163
16,32,64,128,15.424
16,32,64,256,17.7607
16,32,64,512,30.9767
16,32,64,1024,43.6917
16,32,64,2048,66.2197
16,32,64,4096,105.516
16,32,64,8192,181.474
16,32,64,16384,337.37
16,32,128,16,18.0587
16,32,128,32,18.1543
16,32,128,64,18.9767
16,32,128,128,22.87
16,32,128,256,28.096
16,32,128,512,47.2653
16,32,128,1024,70.3057
16,32,128,2048,108.375
16,32,128,4096,184.738
16,32,128,8192,336.505
16,32,128,16384,642.067
16,64,0,0,12.95
16,64,1,16,13.002
16,64,1,32,12.9913
16,64,1,64,12.9923
16,64,1,128,14.0273
16,64,1,256,15.3167
16,64,1,512,17.376
16,64,1,1024,18.5497
16,64,1,2048,18.774
16,64,1,4096,19.8403
16,64,1,8192,21.931
16,64,1,16384,25.6637
16,64,2,16,12.9067
16,64,2,32,12.9493
16,64,2,64,12.971
16,64,2,128,14.1017
16,64,2,256,15.296
16,64,2,512,18.0267
16,64,2,1024,18.9233
16,64,2,2048,19.2223
16,64,2,4096,19.6057
16,64,2,8192,22.4107
16,64,2,16384,30.5283
16,64,4,16,13.3017
16,64,4,32,13.2703
16,64,4,64,13.2377
16,64,4,128,14.6557
16,64,4,256,15.798
16,64,4,512,17.9733
16,64,4,1024,19.1683
16,64,4,2048,18.987
16,64,4,4096,20.8857
16,64,4,8192,27.1143
16,64,4,16384,40.0433
16,64,8,16,12.981
16,64,8,32,13.0987
16,64,8,64,13.067
16,64,8,128,14.475
16,64,8,256,15.6053
16,64,8,512,18.389
16,64,8,1024,19.4243
16,64,8,2048,20.971
16,64,8,4096,26.1873
16,64,8,8192,37.3973
16,64,8,16384,59.1903
16,64,16,16,13.5677
16,64,16,32,13.7387
16,64,16,64,13.664
16,64,16,128,15.0723
16,64,16,256,16.1283
16,64,16,512,19.104
16,64,16,1024,21.269
16,64,16,2048,26.0057
16,64,16,4096,36.1603
16,64,16,8192,56.5877
16,64,16,16384,93.4203
16,64,32,16,13.931
16,64,32,32,13.995
16,64,32,64,14.2083
16,64,32,128,15.499
16,64,32,256,16.6297
16,64,32,512,21.376
16,64,32,1024,26.4213
16,64,32,2048,37.3233
16,64,32,4096,56.5343
16,64,32,8192,103.265
16,64,32,16384,181.933
16,64,64,16,13.931
16,64,64,32,13.856
16,64,64,64,14.005
16,64,64,128,15.0937
16,64,64,256,17.846
16,64,64,512,30.6993
16,64,64,1024,43.2427
16,64,64,2048,66.8163
16,64,64,4096,104.759
16,64,64,8192,181.303
16,64,64,16384,337.753
16,64,128,16,18.0483
16,64,128,32,18.528
16,64,128,64,19.222
16,64,128,128,22.4953
16,64,128,256,29.28
16,64,128,512,45.75
16,64,128,1024,69.7823
16,64,128,2048,108.546
16,64,128,4096,184.749
16,64,128,8192,336.538
16,64,128,16384,644.584
16,128,0,0,14.091
16,128,1,16,14.2617
16,128,1,32,14.2293
16,128,1,64,14.2507
16,128,1,128,14.1557
16,128,1,256,15.3067
16,128,1,512,18.4643
16,128,1,1024,17.9737
16,128,1,2048,18.827
16,128,1,4096,19.968
16,128,1,8192,22.1127
16,128,1,16384,25.9097
16,128,2,16,14.1017
16,128,2,32,14.0907
16,128,2,64,14.1763
16,128,2,128,14.1547
16,128,2,256,15.4243
16,128,2,512,18.336
16,128,2,1024,18.9653
16,128,2,2048,19.2963
