layer,tokens,time_us
embedding,1,4.13867
embedding,2,4.48
embedding,3,4.75733
embedding,4,4.992
embedding,5,5.44033
embedding,6,5.66433
embedding,7,5.90933
embedding,8,6.16533
embedding,9,6.59233
embedding,10,6.90133
embedding,11,7.179
embedding,12,7.606
embedding,13,7.99967
embedding,14,8.288
embedding,15,8.544
embedding,16,8.54433
embedding,20,3.63733
embedding,24,3.52
embedding,28,3.63733
embedding,32,3.31733
embedding,36,3.53067
embedding,40,3.60533
embedding,44,3.584
embedding,48,3.37133
embedding,52,3.61567
embedding,56,3.57367
embedding,60,3.552
embedding,64,3.33867
embedding,80,3.456
embedding,96,3.45633
embedding,112,3.47733
embedding,128,3.53067
embedding,144,3.89333
embedding,160,3.91467
embedding,176,3.96833
embedding,192,3.89333
embedding,208,4.03267
embedding,224,4.01067
embedding,240,3.94633
embedding,256,4.03233
embedding,272,4.384
embedding,288,4.43733
embedding,304,4.363
embedding,320,4.40533
embedding,336,4.40567
embedding,352,4.49067
embedding,368,4.46933
embedding,384,4.48033
embedding,400,4.896
embedding,416,4.87467
embedding,432,4.88533
embedding,448,4.92767
embedding,464,4.99233
embedding,480,5.003
embedding,496,5.00267
embedding,512,5.056
embedding,528,5.00267
embedding,544,5.024
embedding,560,5.035
embedding,576,5.06667
embedding,592,5.10933
embedding,608,5.17333
embedding,624,5.13067
embedding,640,5.17367
embedding,656,5.16233
embedding,672,5.216
embedding,688,5.216
embedding,704,5.248
embedding,720,5.23733
embedding,736,5.259
embedding,752,5.248
embedding,768,5.30167
embedding,784,5.29067
embedding,800,5.30167
embedding,816,5.36533
embedding,832,5.397
embedding,848,5.398
embedding,864,5.39733
embedding,880,5.43967
embedding,896,5.46133
embedding,912,5.48233
embedding,928,5.81333
embedding,944,5.86667
embedding,960,5.856
embedding,976,5.88767
embedding,992,5.89867
embedding,1008,5.94133
embedding,1024,5.86667
embedding,1040,5.92
embedding,1056,5.952
embedding,1072,6.048
embedding,1088,6.00533
embedding,1104,6.03733
embedding,1120,5.97333
embedding,1136,5.995
embedding,1152,6.03733
embedding,1168,6.01633
embedding,1184,6.00533
embedding,1200,6.048
embedding,1216,6.10133
embedding,1232,6.08067
embedding,1248,6.03733
embedding,1264,6.06967
embedding,1280,6.08
embedding,1296,6.08067
embedding,1312,6.134
embedding,1328,6.16533
embedding,1344,6.176
embedding,1360,6.208
