layer,sequences,time_us
lm_head,1,44.3097
lm_head,2,44.5873
lm_head,3,44.63
lm_head,4,44.5657
lm_head,5,45.0883
lm_head,6,44.598
lm_head,7,45.1737
lm_head,8,45.3127
lm_head,9,45.526
lm_head,10,45.5793
lm_head,11,45.6113
lm_head,12,45.6327
lm_head,13,45.4517
lm_head,14,45.5047
lm_head,15,45.8567
lm_head,16,45.6757
lm_head,20,46.1553
lm_head,24,46.3047
lm_head,28,46.646
lm_head,32,46.8167
lm_head,36,47.35
lm_head,40,47.2003
lm_head,44,47.8193
lm_head,48,48.1397
lm_head,52,47.6593
lm_head,56,47.99
lm_head,60,48.9927
lm_head,64,49.0887
lm_head,80,49.259
lm_head,96,49.9957
lm_head,112,50.9127
lm_head,128,52.619
lm_head,144,52.2783
lm_head,160,53.302
lm_head,176,53.8993
lm_head,192,56.5127
lm_head,208,56.683
lm_head,224,55.6597
lm_head,240,67.9903
lm_head,256,56.886
sampler,1,16.182
sampler,2,15.9793
sampler,3,16.3413
sampler,4,16.3093
sampler,5,16.5123
sampler,6,17.1843
sampler,7,19.7017
sampler,8,20.331
sampler,9,20.533
sampler,10,20.8963
sampler,11,21.0147
sampler,12,21.3873
sampler,13,24.1497
sampler,14,25.0237
sampler,15,25.334
sampler,16,25.4937
sampler,20,29.7387
sampler,24,31.1787
sampler,28,35.8827
sampler,32,38.8383
sampler,36,41.643
sampler,40,45.0147
sampler,44,48.4593
sampler,48,53.1
sampler,52,56.5343
sampler,56,61.7827
sampler,60,67.5637
sampler,64,70.4013
sampler,80,87.5747
sampler,96,105.047
sampler,112,126.475
sampler,128,140.034
sampler,144,159.031
sampler,160,176.291
sampler,176,195.628
sampler,192,211.843
sampler,208,228.772
sampler,224,239.407
sampler,240,263.342
sampler,256,278.03
