tokens,activated_experts,time_us
1,8,45.9231
2,8,45.9261
2,16,86.8462
4,8,45.9322
4,16,86.8523
4,32,168.6924
8,8,45.9445
8,16,86.8645
8,32,168.7046
8,64,332.3847
16,8,45.9689
16,16,86.8889
16,32,168.7290
16,64,332.4092
16,128,659.7695
32,8,46.0177
32,16,86.9378
32,32,168.7778
32,64,332.4580
32,128,659.8183
64,8,46.1154
64,16,87.0354
64,32,168.8755
64,64,332.5557
64,128,659.9160
128,8,46.3108
128,16,87.2308
128,32,169.0709
128,64,332.7510
128,128,660.1114
256,8,46.7015
256,16,87.6215
256,32,169.4616
256,64,333.1418
256,128,660.5021
512,8,47.4830
512,16,88.4030
512,32,170.2431
512,64,333.9232
512,128,661.2835
1024,8,49.0459
1024,16,89.9659
1024,32,171.8060
1024,64,335.4861
1024,128,662.8465
2048,8,52.8726
2048,16,93.0918
2048,32,174.9318
2048,64,338.6120
2048,128,665.9723
