layer,sequences,time_us
lm_head,1,7.6370
lm_head,2,7.6387
lm_head,3,7.6405
lm_head,4,7.6422
lm_head,5,7.6440
lm_head,6,7.6457
lm_head,7,7.6475
lm_head,8,7.6492
lm_head,9,7.6510
lm_head,10,7.6527
lm_head,11,7.6545
lm_head,12,7.6562
lm_head,13,7.6580
lm_head,14,7.6598
lm_head,15,7.6615
lm_head,16,7.6633
lm_head,20,7.6703
lm_head,24,7.6773
lm_head,28,7.6843
lm_head,32,7.6913
lm_head,36,7.6983
lm_head,40,7.7053
lm_head,44,7.7124
lm_head,48,7.7194
lm_head,52,7.7264
lm_head,56,7.7334
lm_head,60,7.7404
lm_head,64,7.7474
lm_head,80,7.7755
lm_head,96,7.8035
lm_head,112,7.8316
lm_head,128,7.8596
lm_head,144,7.8877
lm_head,160,7.9157
lm_head,176,7.9438
lm_head,192,7.9719
lm_head,208,7.9999
lm_head,224,8.0280
lm_head,240,8.0560
lm_head,256,8.0841
sampler,1,5.0412
sampler,2,5.0824
sampler,3,5.1235
sampler,4,5.1647
sampler,5,5.2059
sampler,6,5.2471
sampler,7,5.2882
sampler,8,5.3294
sampler,9,5.3706
sampler,10,5.4118
sampler,11,5.4529
sampler,12,5.4941
sampler,13,5.5353
sampler,14,5.5765
sampler,15,5.6176
sampler,16,5.6588
sampler,20,5.8235
sampler,24,5.9882
sampler,28,6.1529
sampler,32,6.3176
sampler,36,6.4823
sampler,40,6.6470
sampler,44,6.8117
sampler,48,6.9764
sampler,52,7.1411
sampler,56,7.3058
sampler,60,7.4705
sampler,64,7.6352
sampler,80,8.2940
sampler,96,8.9528
sampler,112,9.6116
sampler,128,10.2704
sampler,144,10.9292
sampler,160,11.5880
sampler,176,12.2468
sampler,192,12.9056
sampler,208,13.5644
sampler,224,14.2232
sampler,240,14.8820
sampler,256,15.5408
