prefill_chunk,kv_prefill,n_decode,kv_decode,time_us
0,0,1,16,5.0017
0,0,1,32,5.0028
0,0,1,64,5.0050
0,0,1,128,5.0094
0,0,1,256,5.0183
0,0,1,512,5.0361
0,0,1,768,5.0538
0,0,1,1024,5.0716
0,0,1,1152,5.0805
0,0,1,1728,5.1204
0,0,1,2048,5.1426
0,0,1,2592,5.1804
0,0,1,3888,5.2703
0,0,1,4096,5.2847
0,0,1,5832,5.4052
0,0,1,8192,5.5689
0,0,1,8748,5.6075
0,0,1,13122,5.9109
0,0,1,16384,6.1372
0,0,2,16,5.0033
0,0,2,32,5.0056
0,0,2,64,5.0100
0,0,2,128,5.0189
0,0,2,256,5.0366
0,0,2,512,5.0722
0,0,2,768,5.1077
0,0,2,1024,5.1432
0,0,2,1152,5.1610
0,0,2,1728,5.2409
0,0,2,2048,5.2853
0,0,2,2592,5.3608
0,0,2,3888,5.5406
0,0,2,4096,5.5694
0,0,2,5832,5.8103
0,0,2,8192,6.1378
0,0,2,8748,6.2149
0,0,2,13122,6.8218
0,0,2,16384,7.2744
0,0,4,16,5.0067
0,0,4,32,5.0111
0,0,4,64,5.0200
0,0,4,128,5.0377
0,0,4,256,5.0733
0,0,4,512,5.1443
0,0,4,768,5.2153
0,0,4,1024,5.2864
0,0,4,1152,5.3219
0,0,4,1728,5.4818
0,0,4,2048,5.5706
0,0,4,2592,5.7215
0,0,4,3888,6.0812
0,0,4,4096,6.1389
0,0,4,5832,6.6206
0,0,4,8192,7.2756
0,0,4,8748,7.4298
0,0,4,13122,8.6437
0,0,4,16384,9.5489
0,0,8,16,5.0133
0,0,8,32,5.0222
0,0,8,64,5.0400
0,0,8,128,5.0755
0,0,8,256,5.1465
0,0,8,512,5.2886
0,0,8,768,5.4307
0,0,8,1024,5.5728
0,0,8,1152,5.6438
0,0,8,1728,5.9635
0,0,8,2048,6.1411
0,0,8,2592,6.4430
0,0,8,3888,7.1623
0,0,8,4096,7.2778
0,0,8,5832,8.2413
0,0,8,8192,9.5511
0,0,8,8748,9.8597
0,0,8,13122,12.2873
0,0,8,16384,14.0978
0,0,16,16,5.0266
0,0,16,32,5.0444
0,0,16,64,5.0799
0,0,16,128,5.1510
0,0,16,256,5.2930
0,0,16,512,5.5772
0,0,16,768,5.8614
0,0,16,1024,6.1455
0,0,16,1152,6.2876
0,0,16,1728,6.9270
0,0,16,2048,7.2822
0,0,16,2592,7.8861
0,0,16,3888,9.3247
0,0,16,4096,9.5556
0,0,16,5832,11.4826
0,0,16,8192,14.1022
0,0,16,8748,14.7194
0,0,16,13122,19.5747
0,0,16,16384,23.1956
0,0,32,16,5.0533
0,0,32,32,5.0888
0,0,32,64,5.1598
0,0,32,128,5.3019
0,0,32,256,5.5861
0,0,32,512,6.1544
0,0,32,768,6.7228
0,0,32,1024,7.2911
0,0,32,1152,7.5753
0,0,32,1728,8.8540
0,0,32,2048,9.5644
0,0,32,2592,10.7721
0,0,32,3888,13.6493
0,0,32,4096,14.1111
0,0,32,5832,17.9651
0,0,32,8192,23.2044
0,0,32,8748,24.4388
0,0,32,13122,34.1493
0,0,32,16384,41.3911
0,0,64,16,5.1066
0,0,64,32,5.1776
0,0,64,64,5.3197
0,0,64,128,5.6039
0,0,64,256,6.1722
0,0,64,512,7.3089
0,0,64,768,8.4455
0,0,64,1024,9.5822
0,0,64,1152,10.1505
0,0,64,1728,12.7080
0,0,64,2048,14.1289
0,0,64,2592,16.5443
0,0,64,3888,22.2987
0,0,64,4096,23.2222
0,0,64,5832,30.9302
0,0,64,8192,41.4089
0,0,64,8748,43.8776
0,0,64,13122,63.2986
0,0,64,16384,77.7823
0,0,128,16,5.2131
0,0,128,32,5.3552
0,0,128,64,5.6394
0,0,128,128,6.2077
0,0,128,256,7.3444
0,0,128,512,9.6177
0,0,128,768,11.8910
0,0,128,1024,14.1644
0,0,128,1152,15.3011
0,0,128,1728,20.4161
0,0,128,2048,23.2577
0,0,128,2592,28.0886
0,0,128,3888,39.5973
0,0,128,4096,41.4444
0,0,128,5832,56.8605
0,0,128,8192,77.8178
0,0,128,8748,82.7552
0,0,128,13122,121.5972
0,0,128,16384,150.5645
0,0,256,16,5.4263
0,0,256,32,5.7104
0,0,256,64,6.2788
0,0,256,128,7.4154
0,0,256,256,9.6888
0,0,256,512,14.2354
0,0,256,768,18.7821
0,0,256,1024,23.3288
0,0,256,1152,25.6021
0,0,256,1728,35.8321
0,0,256,2048,41.5155
0,0,256,2592,51.1771
0,0,256,3888,74.1946
0,0,256,4096,77.8888
0,0,256,5832,108.7209
0,0,256,8192,150.6356
0,0,256,8748,160.5104
0,0,256,13122,238.1945
0,0,256,16384,296.1290
16,0,0,0,5.0100
16,0,1,16,5.0117
16,0,1,32,5.0128
16,0,1,64,5.0150
16,0,1,128,5.0194
16,0,1,256,5.0283
16,0,1,512,5.0461
16,0,1,768,5.0638
16,0,1,1024,5.0816
16,0,1,1152,5.0905
16,0,1,1728,5.1304
16,0,1,2048,5.1526
16,0,1,2592,5.1904
16,0,1,3888,5.2803
16,0,1,4096,5.2947
16,0,1,5832,5.4152
16,0,1,8192,5.5789
16,0,1,8748,5.6175
16,0,1,13122,5.9209
16,0,1,16384,6.1472
16,0,2,16,5.0133
16,0,2,32,5.0155
16,0,2,64,5.0200
16,0,2,128,5.0289
16,0,2,256,5.0466
16,0,2,512,5.0821
16,0,2,768,5.1177
16,0,2,1024,5.1532
16,0,2,1152,5.1709
16,0,2,1728,5.2509
16,0,2,2048,5.2953
16,0,2,2592,5.3707
16,0,2,3888,5.5506
16,0,2,4096,5.5794
16,0,2,5832,5.8203
16,0,2,8192,6.1478
16,0,2,8748,6.2249
16,0,2,13122,6.8318
16,0,2,16384,7.2844
16,0,4,16,5.0167
16,0,4,32,5.0211
16,0,4,64,5.0300
16,0,4,128,5.0477
16,0,4,256,5.0833
16,0,4,512,5.1543
16,0,4,768,5.2253
16,0,4,1024,5.2964
16,0,4,1152,5.3319
16,0,4,1728,5.4917
16,0,4,2048,5.5805
16,0,4,2592,5.7315
16,0,4,3888,6.0912
16,0,4,4096,6.1489
16,0,4,5832,6.6306
16,0,4,8192,7.2855
16,0,4,8748,7.4398
16,0,4,13122,8.6537
16,0,4,16384,9.5589
16,0,8,16,5.0233
16,0,8,32,5.0322
16,0,8,64,5.0500
16,0,8,128,5.0855
16,0,8,256,5.1565
16,0,8,512,5.2986
16,0,8,768,5.4407
16,0,8,1024,5.5828
16,0,8,1152,5.6538
16,0,8,1728,5.9735
16,0,8,2048,6.1511
16,0,8,2592,6.4530
16,0,8,3888,7.1723
16,0,8,4096,7.2878
16,0,8,5832,8.2513
16,0,8,8192,9.5611
16,0,8,8748,9.8697
16,0,8,13122,12.2973
16,0,8,16384,14.1078
16,0,16,16,5.0366
16,0,16,32,5.0544
16,0,16,64,5.0899
16,0,16,128,5.1610
16,0,16,256,5.3030
16,0,16,512,5.5872
16,0,16,768,5.8714
16,0,16,1024,6.1555
16,0,16,1152,6.2976
16,0,16,1728,6.9370
16,0,16,2048,7.2922
16,0,16,2592,7.8961
16,0,16,3888,9.3347
16,0,16,4096,9.5655
16,0,16,5832,11.4925
16,0,16,8192,14.1122
16,0,16,8748,14.7294
16,0,16,13122,19.5846
16,0,16,16384,23.2056
16,0,32,16,5.0633
16,0,32,32,5.0988
16,0,32,64,5.1698
16,0,32,128,5.3119
16,0,32,256,5.5961
16,0,32,512,6.1644
16,0,32,768,6.7328
16,0,32,1024,7.3011
16,0,32,1152,7.5853
16,0,32,1728,8.8640
16,0,32,2048,9.5744
16,0,32,2592,10.7821
16,0,32,3888,13.6593
16,0,32,4096,14.1211
16,0,32,5832,17.9751
16,0,32,8192,23.2144
16,0,32,8748,24.4488
16,0,32,13122,34.1593
16,0,32,16384,41.4011
16,0,64,16,5.1166
16,0,64,32,5.1876
16,0,64,64,5.3297
16,0,64,128,5.6138
16,0,64,256,6.1822
16,0,64,512,7.3188
16,0,64,768,8.4555
16,0,64,1024,9.5922
16,0,64,1152,10.1605
16,0,64,1728,12.7180
16,0,64,2048,14.1389
16,0,64,2592,16.5543
16,0,64,3888,22.3087
16,0,64,4096,23.2322
16,0,64,5832,30.9402
16,0,64,8192,41.4189
16,0,64,8748,43.8876
16,0,64,13122,63.3086
16,0,64,16384,77.7922
16,0,128,16,5.2231
16,0,128,32,5.3652
16,0,128,64,5.6494
16,0,128,128,6.2177
16,0,128,256,7.3544
16,0,128,512,9.6277
16,0,128,768,11.9010
16,0,128,1024,14.1744
16,0,128,1152,15.3110
16,0,128,1728,20.4260
16,0,128,2048,23.2677
16,0,128,2592,28.0986
16,0,128,3888,39.6073
16,0,128,4096,41.4544
16,0,128,5832,56.8705
16,0,128,8192,77.8278
16,0,128,8748,82.7652
16,0,128,13122,121.6072
16,0,128,16384,150.5745
16,16,0,0,5.0111
16,16,1,16,5.0128
16,16,1,32,5.0139
16,16,1,64,5.0161
16,16,1,128,5.0205
16,16,1,256,5.0294
16,16,1,512,5.0472
16,16,1,1024,5.0827
16,16,1,2048,5.1537
16,16,1,4096,5.2958
16,16,1,8192,5.5800
16,16,1,16384,6.1483
16,16,2,16,5.0144
16,16,2,32,5.0167
16,16,2,64,5.0211
16,16,2,128,5.0300
16,16,2,256,5.0477
16,16,2,512,5.0833
16,16,2,1024,5.1543
16,16,2,2048,5.2964
16,16,2,4096,5.5805
16,16,2,8192,6.1489
16,16,2,16384,7.2855
16,16,4,16,5.0178
16,16,4,32,5.0222
16,16,4,64,5.0311
16,16,4,128,5.0488
16,16,4,256,5.0844
16,16,4,512,5.1554
16,16,4,1024,5.2975
16,16,4,2048,5.5817
16,16,4,4096,6.1500
16,16,4,8192,7.2867
16,16,4,16384,9.5600
16,16,8,16,5.0244
16,16,8,32,5.0333
16,16,8,64,5.0511
16,16,8,128,5.0866
16,16,8,256,5.1576
16,16,8,512,5.2997
16,16,8,1024,5.5839
16,16,8,2048,6.1522
16,16,8,4096,7.2889
16,16,8,8192,9.5622
16,16,8,16384,14.1089
16,16,16,16,5.0377
16,16,16,32,5.0555
16,16,16,64,5.0910
16,16,16,128,5.1621
16,16,16,256,5.3041
16,16,16,512,5.5883
16,16,16,1024,6.1566
16,16,16,2048,7.2933
16,16,16,4096,9.5667
16,16,16,8192,14.1133
16,16,16,16384,23.2067
16,16,32,16,5.0644
16,16,32,32,5.0999
16,16,32,64,5.1709
16,16,32,128,5.3130
16,16,32,256,5.5972
16,16,32,512,6.1655
16,16,32,1024,7.3022
16,16,32,2048,9.5755
16,16,32,4096,14.1222
16,16,32,8192,23.2155
16,16,32,16384,41.4022
16,16,64,16,5.1177
16,16,64,32,5.1887
16,16,64,64,5.3308
16,16,64,128,5.6150
16,16,64,256,6.1833
16,16,64,512,7.3200
16,16,64,1024,9.5933
16,16,64,2048,14.1400
16,16,64,4096,23.2333
16,16,64,8192,41.4200
16,16,64,16384,77.7934
16,16,128,16,5.2242
16,16,128,32,5.3663
16,16,128,64,5.6505
16,16,128,128,6.2188
16,16,128,256,7.3555
16,16,128,512,9.6288
16,16,128,1024,14.1755
16,16,128,2048,23.2688
16,16,128,4096,41.4555
16,16,128,8192,77.8289
16,16,128,16384,150.5756
16,32,0,0,5.0122
16,32,1,16,5.0139
16,32,1,32,5.0150
16,32,1,64,5.0172
16,32,1,128,5.0216
16,32,1,256,5.0305
16,32,1,512,5.0483
16,32,1,1024,5.0838
16,32,1,2048,5.1548
16,32,1,4096,5.2969
16,32,1,8192,5.5811
16,32,1,16384,6.1494
16,32,2,16,5.0155
16,32,2,32,5.0178
16,32,2,64,5.0222
16,32,2,128,5.0311
16,32,2,256,5.0488
16,32,2,512,5.0844
16,32,2,1024,5.1554
16,32,2,2048,5.2975
16,32,2,4096,5.5817
16,32,2,8192,6.1500
16,32,2,16384,7.2867
16,32,4,16,5.0189
16,32,4,32,5.0233
16,32,4,64,5.0322
16,32,4,128,5.0500
16,32,4,256,5.0855
16,32,4,512,5.1565
16,32,4,1024,5.2986
16,32,4,2048,5.5828
16,32,4,4096,6.1511
16,32,4,8192,7.2878
16,32,4,16384,9.5611
16,32,8,16,5.0255
16,32,8,32,5.0344
16,32,8,64,5.0522
16,32,8,128,5.0877
16,32,8,256,5.1587
16,32,8,512,5.3008
16,32,8,1024,5.5850
16,32,8,2048,6.1533
16,32,8,4096,7.2900
16,32,8,8192,9.5633
16,32,8,16384,14.1100
16,32,16,16,5.0389
16,32,16,32,5.0566
16,32,16,64,5.0921
16,32,16,128,5.1632
16,32,16,256,5.3053
16,32,16,512,5.5894
16,32,16,1024,6.1578
16,32,16,2048,7.2944
16,32,16,4096,9.5678
16,32,16,8192,14.1144
16,32,16,16384,23.2078
16,32,32,16,5.0655
16,32,32,32,5.1010
16,32,32,64,5.1721
16,32,32,128,5.3141
16,32,32,256,5.5983
16,32,32,512,6.1666
16,32,32,1024,7.3033
16,32,32,2048,9.5766
16,32,32,4096,14.1233
16,32,32,8192,23.2167
16,32,32,16384,41.4033
16,32,64,16,5.1188
16,32,64,32,5.1898
16,32,64,64,5.3319
16,32,64,128,5.6161
16,32,64,256,6.1844
16,32,64,512,7.3211
16,32,64,1024,9.5944
16,32,64,2048,14.1411
16,32,64,4096,23.2344
16,32,64,8192,41.4211
16,32,64,16384,77.7945
16,32,128,16,5.2253
16,32,128,32,5.3674
16,32,128,64,5.6516
16,32,128,128,6.2199
16,32,128,256,7.3566
16,32,128,512,9.6299
16,32,128,1024,14.1766
16,32,128,2048,23.2699
16,32,128,4096,41.4566
16,32,128,8192,77.8300
16,32,128,16384,150.5767
16,64,0,0,5.0144
16,64,1,16,5.0161
